joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt1,0.5446987673579999,-0.12999999999999998,0.2738588704231694,-0.16591159082364873,-0.09999087619787639,-0.02412169749831483,-0.04872375185284454,-3.579451451352078e-07,-1.5708036532543113,-4.4824756513239805e-06,2.596900499358324
jnt1,0.5496987673579999,-0.12499999999999997,0.27302588902395275,-0.16727880557059488,-0.09999088624201014,-0.0249546788975315,-0.05009096659979069,-3.679892788821526e-07,-1.5708036341429354,-4.513844420239721e-06,2.5919004993583727
jnt1,0.554698767358,-0.12,0.27218608199173044,-0.1686418383377501,-0.09999089625542129,-0.025794485929753808,-0.051453999366945904,-3.780026900379596e-07,-1.5708036148749542,-4.54511724012896e-06,2.5869004993584204
jnt1,0.559698767358,-0.11499999999999999,0.2713394703216346,-0.17000065504936604,-0.09999090623785947,-0.026641097599849672,-0.05281281607856185,-3.879851282195812e-07,-1.570803595450852,-4.576293330282866e-06,2.581900499358467
jnt1,0.564698767358,-0.10999999999999999,0.27048607517891293,-0.171355221735096,-0.0999909161890753,-0.02749449274257132,-0.054167382764291824,-3.9793634404317046e-07,-1.5708035758711112,-4.607371909992608e-06,2.576900499358512
jnt1,0.569698767358,-0.10499999999999998,0.2696259178983999,-0.17270550453084324,-0.09999092610881988,-0.02835465002308435,-0.05551766556003905,-4.0785608862448086e-07,-1.5708035561362232,-4.638352202768203e-06,2.5719004993585557
jnt1,0.574698767358,-0.09999999999999998,0.268759019983982,-0.17405146967960805,-0.099990935996845,-0.029221547937502257,-0.05686363070880386,-4.1774411374539966e-07,-1.570803536246682,-4.669233435006248e-06,2.566900499358598
jnt1,0.579698767358,-0.09499999999999997,0.2678854031080627,-0.175393083532332,-0.09999094585290405,-0.03009516481342156,-0.0582052445615278,-4.276001727976375e-07,-1.5708035162029825,-4.7000148337694725e-06,2.5619004993586385
jnt1,0.584698767358,-0.09,0.2670050891110179,-0.17673031254873856,-0.09999095567674998,-0.03097547881046636,-0.059542473577934366,-4.3742401872881587e-07,-1.5708034960056279,-4.730695629451276e-06,2.5569004993586786
jnt1,0.589698767358,-0.08499999999999999,0.2661181000006517,-0.17806312329817192,-0.09999096546813749,-0.03186246792083253,-0.06087528432736773,-4.4721540623515743e-07,-1.5708034756551226,-4.761275055331637e-06,2.5519004993587173
