t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.26,"[1.1795044008938158, 1.366626856247181, 1.3948566495668715, -0.41969225502391044]","[2.2117089834873727, 9.11084570831454, 4.649522165222905, -1.398974183413035]","[0.11574121407532431, -0.28053654184849636, -0.12680313346941424]",0.00015153790757618056,0.17604335043312846,10.88915429168546
0.27,"[1.2146691411663728, 1.3748391329342002, 1.3861495259266896, -0.4128453043891724]","[2.277646992623988, 9.165594219561335, 4.6204984197556325, -1.3761510146305747]","[0.10643484517930799, -0.28612092776333314, -0.128659365788711]",0.00015227361855182377,0.18475047407331036,10.834405780438665
0.28,"[1.2489412953862624, 1.3832080709099785, 1.3766194927433506, -0.40550556626794093]","[2.3419112983053862, 9.221387139399857, 4.5887316424778355, -1.3516852208931365]","[0.09724656516685957, -0.2916341166161207, -0.1304922621956408]",0.00015206477737231893,0.18769192909002141,10.778612860600143
0.29,"[1.2820567465181831, 1.3916886669032902, 1.3663670214511388, -0.3977487023639645]","[2.404006650137227, 9.277924446021935, 4.554556738170462, -1.3258290078798816]","[0.08823460686677381, -0.29704114851146546, -0.13229030460055202]",0.00015097450385021208,0.17921133309670978,10.722075553978065
0.3,"[1.3137837363693419, 1.400231601658279, 1.3555119786733554, -0.3896617211743273]","[2.463498474347163, 9.334877344388527, 4.518373262244518, -1.2988724039144244]","[0.0794555024054007, -0.3023081286363946, -0.13404231758943305]",0.00014905921217150093,0.17066839834172098,10.665122655611473
0.31,"[1.3439259371232044, 1.4087824242652323, 1.3441909855527001, -0.3813411062209924]","[2.520018633270588, 9.391882828434882, 4.480636618509001, -1.2711370207366413]","[0.07096349391789102, -0.3074025769424689, -0.1357375811472609]",0.00014635809496669987,0.1621175757347677,10.608117171565118
0.32,"[1.3723235739574242, 1.4172810478725286, 1.3325543321660338, -0.3728906559492568]","[2.5732675303908197, 9.448540319150192, 4.44184777388678, -1.2429688531641894]","[0.06280994491676141, -0.31229377305645756, -0.13736594273479477]",0.0001428872129759893,0.15361895212747134,10.551459680849808
0.33,"[1.3988528688167914, 1.4256617148661113, 1.3207625020233298, -0.3644190815795041]","[2.623013067348193, 9.504411432440742, 4.4025416734111, -1.2147302719316804]","[0.05504275393300515, -0.316953097040228, -0.13891792866666314]",0.00013863919141803203,0.1452382851338887,10.495588567559258
0.34,"[1.4234241896918118, 1.4338535411260065, 1.308982351719661, -0.3560374105334026]","[2.6690871736204986, 9.55902360750671, 4.363274505732203, -1.1867913684446754]","[0.04770577151757344, -0.3213543670066981, -0.14038485505759202]",0.00013358840810728215,0.13704645887399347,10.44097639249329
0.35000000000000003,"[1.4459793377462182, 1.4417816903269112, 1.2973829878226313, -0.34785624363607204]","[2.7113807195691324, 9.61187793551274, 4.324609959408771, -1.1595208121202403]","[0.04083822064942785, -0.32547417481101515, -0.14175893830405856]",0.00012770062904107445,0.1291183096730888,10.38812206448726
0.36,"[1.4664883934522068, 1.4493691732896983, 1.2861313857502439, -0.33998291288029797]","[2.7498376025730487, 9.662461155264655, 4.28710461916748, -1.1332763762676599]","[0.03447412048003981, -0.3292922210652415, -0.14303340554082986]",0.0001209454530973946,0.12153082671030169,10.337538844735345
0.37,"[1.4849464951749272, 1.4565392149412697, 1.275387801947582, -0.3325186022970789]","[2.7844487064971446, 9.710261432941799, 4.2512926731586065, -1.1083953409902632]","[0.02864171258100495, -0.3327916504728665, -0.144202605323696]",0.00011330970937746669,0.11436078505873026,10.289738567058201
0.38,"[1.5013708533638723, 1.4632180827657935, 1.2653010621293541, -0.32555548323471567]","[2.815246302951195, 9.754787218438624, 4.217670207097847, -1.0851849441157189]","[0.02336288894824106, -0.3359593883614715, -0.14526211886409537]",0.00010481018624246903,0.1076819172342065,10.245212781561376
0.39,"[1.515798228908719, 1.4693382359426548, 1.2560038269196103, -0.3191739384758623]","[2.84229932291153, 9.795588239617699, 4.186679423065368, -1.0639131282528744]","[0.01865262089242218, -0.33878647912800663, -0.1462088723623262]",9.550416974577783e-05,0.10156176405734518,10.204411760382301
0.4,"[1.5282830342067673, 1.4748416229510863, 1.2476079779821028, -0.3134399413160922]","[2.8657097959999387, 9.832277486340576, 4.158693259940343, -1.0447998043869742]","[0.014518388050779964, -0.34126842704202237, -0.14704125082755234]",8.549680551042111e-05,0.09605837704891362,10.167722513659424
0.41000000000000003,"[1.5388961559137322, 1.4796829399191045, 1.2402002921158555, -0.3084026647875369]","[2.8856106430034356, 9.86455293279403, 4.134000973719519, -1.028008882625123]","[0.01095960692781253, -0.3434055397762221, -0.1477592138224049]",7.494456483433782e-05,0.09121706008089547,10.13544706720597
0.42,"[1.5477245461630402, 1.4838326638768473, 1.2338385544795083, -0.30409245445835087]","[2.9021649093625355, 9.892217759178983, 4.112795181598361, -1.0136415148611697]","[0.007967060062422152, -0.34520327537802187, -0.14836441248119467]",6.40555529998936e-05,0.08706733612315265,10.107782240821017
0.43,"[1.5548716225505688, 1.487279665299927, 1.228548450947759, -0.30051895040079873]","[2.9155665151895156, 9.91519776866618, 4.095161503159197, -1.001729834669329]","[0.005522316223944394, -0.346672588747996, -0.14886031366616104]",5.308040117858367e-05,0.08362033470007302,10.08480223133382
0.44,"[1.5604583870336552, 1.4900332716554616, 1.2243211107193286, -0.29766993759848487]","[2.926042353335187, 9.933555144369745, 4.081070369064429, -0.9922331253282829]","[0.0035971668119084413, -0.347830286763486, -0.14925231477078488]",4.2312302619900334e-05,0.08086672834453834,10.066444855630255
0.45,"[1.564625321904144, 1.4921247130209399, 1.2211116155195365, -0.2955105089873101]","[2.933855844560555, 9.947498086806267, 4.0703720517317885, -0.9850350299577004]","[0.0021530424296243977, -0.34869937862542233, -0.14954787296085575]",3.207006518936485e-05,0.07877528697906011,10.052501913193733
0.46,"[1.5675349031030201, 1.4936078672725082, 1.2188384538121722, -0.2939826866649488]","[2.939311650296306, 9.957385781816722, 4.062794846040574, -0.9799422888831627]","[0.0011404392439275477, -0.3493094297640292, -0.14975662713779236]",2.268895958569297e-05,0.0772921327274918,10.042614218183278
0.47000000000000003,"[1.5693746571936824, 1.4945593889741162, 1.2173838202072733, -0.293005452104601]","[2.9427614048259563, 9.963729259827442, 4.057946067357578, -0.97668484034867]","[0.0004983427401822548, -0.34969691480040876, -0.14989052116934742]",1.4510060591949469e-05,0.07634061102588374,10.036270740172558
0.48,"[1.5703606021625647, 1.4950783445322262, 1.2165945717028457, -0.29247510144849714]","[2.944610167190258, 9.967188963548175, 4.055315239009486, -0.9749170048283239]","[0.00015365131328351437, -0.34990556906246023, -0.14996392548094248]",7.871639226114476e-06,0.07582165546777375,10.032811036451825
