t,des_x,des_y,des_z,des_roll,des_pitch,act_x,act_y,act_z,act_roll,act_pitch,err_x,err_y,err_z,err_roll,err_pitch,tau1,tau2,tau3,tau4,q1,q2,q3,q4,dq1,dq2,dq3,dq4
0.015,-0.34997420042,0.149889061806,-0.2,-1.5707963267948966,0.0,0.48079498116197095,-0.19998592924820024,0.3061597970665231,3.134993728190405,0.4278678432381993,-0.8360305621643858,0.35210848685109397,-0.5049546295765006,1.5775043268272269,-0.4652798279521706,1.2010869514104914,-3296.153397851059,719.4219515639888,1296.8871098830355,0.4037606462480739,-1.920957446638225,-0.35577644499842964,1.1373275418590585,-0.07826747801274675,4.5168444497584295,16.3752165342422,50.41792359220968
0.016,-0.34996878473134074,0.14986577434476542,-0.2,-1.5707963267948966,0.0,0.47511831533003535,-0.1975828405647822,0.307197371684401,3.13509430695924,0.38824853691417177,-0.8307612045776668,0.34985064368098207,-0.5061595902439955,1.577395202038966,-0.4278503798525364,1.2232100012542855,-3277.0685148024013,772.1536433853425,1239.1132263099273,0.40368192799570374,-1.9160704464668183,-0.33850231763065364,1.1893344436257185,-0.07918086125188781,5.254393673282915,18.155295910418815,53.54693136287194
0.017,-0.34996267324274555,0.1498394949438061,-0.2,-1.5707963267948966,0.0,0.46904138978856647,-0.19501665732347645,0.3080259274395254,3.1351847463052707,0.34664273781465593,-0.8250784202472786,0.347421273830963,-0.5071970747369554,1.5772946306311404,-0.3882313504483377,1.2481242085083992,-3237.381711314677,813.6139485973292,1180.8994832076553,0.4036023004947164,-1.9104546524895358,-0.3195015985814177,1.2443252335077217,-0.08008425907324951,5.973977196579838,19.828222035818825,56.387688017216185
0.018000000000000002,-0.3499558271442944,0.1498100567204659,-0.2,-1.5707963267948966,0.0,0.4625795399987783,-0.19229399571997594,0.30860644347397703,3.1352637756221546,0.30324380905642767,-0.8189947066188277,0.3448256775171085,-0.5080255404048266,1.577204199207113,-0.34662623513583446,1.2770031279657943,-3178.3675186834416,844.3794602075296,1121.4539018642383,0.40352178555248064,-1.9041293613137864,-0.2988817444392603,1.3020184561906707,-0.08095364417811639,6.672970950253613,21.393609898257974,58.954564133167715
0.019,-0.34994820816289923,0.14977729510046656,-0.2,-1.5707963267948966,0.0,0.4557505083131974,-0.18942245744612743,0.3089029309818968,3.1353303859330883,0.2582313464356866,-0.8125253536608901,0.3420703033081747,-0.5086059731876695,1.577125177804156,-0.30322832733688054,1.3107056986266195,-3101.674114374425,865.3072583188714,1059.9728270581445,0.4034404314413781,-1.8971163669591509,-0.27674996776780825,1.3621491707074531,-0.08176021303310324,7.3490155107431,22.852293031135552,61.2660251584932
0.02,-0.34993977855999997,0.149741047808,-0.2,-1.5707963267948966,0.0,0.44857399508736984,-0.1864104429551978,0.3088827269039094,3.1353837683242247,0.2117684447762582,-0.8056880569758449,0.3391625868373508,-0.5089023895766004,1.5770585749604091,-0.2582171487205831,1.3497751426178544,-3009.2072778529246,877.4697718525518,995.6629337584734,0.4033583169531804,-1.8894396699731777,-0.25321214951124105,1.4244724726537903,-0.08247179288840525,8.000061150018674,24.2060508495603,63.343495994076406
0.021,-0.3499305011292608,0.14970115485582144,-0.2,-1.5707963267948966,0.0,0.44107118812962226,-0.183266955997885,0.30851659652448604,3.1354232504143402,0.163999732624526,-0.7985024700474369,0.33611076453141964,-0.50888213006632,1.5770051992838896,-0.21175572358847417,1.3944503734650016,-2903.020125554513,882.0894034927403,927.7587675737715,0.4032755541659639,-1.8811251624142735,-0.22837205038320826,1.48876592669013,-0.08305401116971929,8.624372556085891,25.4572891384221,65.21033156106532
0.022,-0.3499203391942656,0.14965745853534207,-0.2,-1.5707963267948966,0.0,0.4332643022348924,-0.18000141257890553,0.307778669927043,3.135448233459208,0.11505003670160342,-0.7909897347320335,0.3329236785691603,-0.5085159618216489,1.5769657229667775,-0.16398861986524427,1.4446862475887754,-2785.2150563987684,880.4776926326801,855.5349585694343,0.40319229016593905,-1.8722003240504523,-0.20233085147122173,1.554831053533583,-0.08347122091968391,9.220503558170826,26.60870603337466,66.89096427470103
0.023,-0.34990925660621436,0.1496098034067219,-0.2,-1.5707963267948966,0.0,0.42517615211420495,-0.17662346399310225,0.3066462387784099,3.1354581309006013,0.06502350058255985,-0.783172021597468,0.32961058616036726,-0.507778015446519,1.5769407446535082,-0.1150406176209735,1.500173589259139,-2657.861140217034,873.9820757129582,778.3128194095231,0.40310870795085135,-1.8626939539916743,-0.17518702499723737,1.622494070200431,-0.08368721884104445,9.787253502620764,27.662969498422864,68.41026705476439
0.024,-0.34989721774161914,0.14955803628896258,-0.2,-1.5707963267948966,0.0,0.4168297746972174,-0.1731428405692727,0.3050994368327794,3.1354523076115326,0.014002968360442196,-0.7750721033557089,0.32618098277800744,-0.5066455822363096,1.576930850859112,-0.06501582965092645,1.5603438225478148,-2522.927355091039,863.9416321254699,695.461469971987,0.4030250266758352,-1.8526359502185743,-0.14703651341552082,1.6916061066750692,-0.08366585040143876,10.323617022100901,28.62242606809837,69.79314318390985
0.025,-0.34988418749999994,0.14950200624999999,-0.2,-1.5707963267948966,0.0,0.40824811191818233,-0.16956922074877187,0.3031208213368766,3.1354300177074865,-0.03795055059736917,-0.7667129773611456,0.3226444459700145,-0.5050987952184451,1.5769366766907087,-0.013997085226371553,1.6243576340278236,-2382.229975276291,851.6518376033646,606.3939098566526,0.4029415013019462,-1.8420571378200634,-0.11797317733544845,1.7620431228355946,-0.08337160908973827,10.828738793275498,29.488857112213772,71.06433421543923
0.026000000000000002,-0.3498701313015808,0.14944156459679744,-0.2,-1.5707963267948966,0.0,0.3994537635936037,-0.16591212952661458,0.30069486469267914,3.1353903374567818,-0.090798498733686,-0.7581175483087328,0.3190105043881604,-0.5031202110988479,1.5769589680047815,0.03795460648178839,1.6910689648446557,-2237.3911533884457,838.3374431097051,510.5585948026407,0.40285842157924673,-1.8309891349948093,-0.08808945632880456,1.8337057333633358,-0.08277038071686281,11.3018853746806,30.263300172710007,72.24842337150062
0.027,-0.3498550150849856,0.14937656486543804,-0.2,-1.5707963267948966,0.0,0.39046882252109444,-0.16218087135060918,0.2978073577713881,3.135332088343506,-0.14452559588475625,-0.7493083807624664,0.3152885360712566,-0.5006943024272482,1.5769986484680185,0.0908006760301654,1.7589612619058554,-2089.805293554596,825.1321785319382,407.42714557508464,0.40277611012740433,-1.819464232990899,-0.05747716581798866,1.9065191204345484,-0.08183052205911928,11.742448067723714,30.94596078968041,73.37000130472222
0.028,-0.3498388053049344,0.1493068628112179,-0.2,-1.5707963267948966,0.0,0.38131481108877874,-0.15838450556699107,0.29444471982412346,3.1352537434735375,-0.1991409435392824,-0.7403075336393053,0.31148770107667423,-0.4978068613385334,1.5770568964687435,0.14452582319007723,1.826061461396013,-1940.6101440453226,813.064044842246,296.47891440423416,0.402694919174566,-1.8075152505405063,-0.026228320504030695,1.9804331751432735,-0.08052449241770016,12.149994416286185,31.536256398101187,74.45394890245922
0.029,-0.34982146892993915,0.14923231639873855,-0.2,-1.5707963267948966,0.0,0.37201275110900955,-0.15453187766761747,0.29059320729074556,3.1351533079655414,-0.2546793894864644,-0.7311364958922815,0.307616916530143,-0.4944443097598285,1.577135238690186,0.19913912713005022,1.889833701333608,-1790.6607231653477,803.0455306486675,177.1833744209872,0.4026152252665904,-1.7951753031040865,0.0055641789080627495,2.0554229542315134,-0.07883132140407978,12.524391484672076,32.033059822995796,75.52577183326605
0.03,-0.34980297343999994,0.14915278579199998,-0.2,-1.5707963267948966,0.0,0.36258341661275195,-0.15063172706020278,0.2862380186083213,3.135028160342848,-0.3112029944032718,-0.7218162550206553,0.30368488731413446,-0.4905929082715353,1.5772356697092924,0.2546754202898929,1.9470786599116487,-1640.5064930495291,795.8692492220007,48.98182721426797,0.40253742097115025,-1.78247740086667,0.037806243602148334,2.1314894575037613,-0.07674020919535697,12.866030507612649,32.43524564142181,76.61188664771997
0.031,-0.34978328682430077,0.14906813334449345,-0.2,-1.5707963267948966,0.0,0.35331644771074117,-0.14680428220096484,0.28146225827264476,3.1348796031686295,-0.36707239364092986,-0.712367548046485,0.29970021307781336,-0.4862378605037425,1.5773608106187496,0.31119676943210406,1.993871861968715,-1490.3761751395357,792.2114570864532,-88.72908913417578,0.40246355358282226,-1.7696734608319729,0.0700020470544064,2.206760293055033,-0.07101582684889388,12.749682983628077,31.99203853144252,73.94812404706462
0.032,-0.34976237757890555,0.14897822358929408,-0.2,-1.5707963267948966,0.0,0.3444941948040116,-0.14316642153109016,0.27640260482870666,3.1347116598562956,-0.4205699910266902,-0.703079087102343,0.2957825944843423,-0.4814642850843617,1.57750937790503,0.3670747130133374,2.15693636365058,-1378.0952313288255,759.1865771931156,-123.40002610043035,0.40239561601259505,-1.7569623948085527,0.10186215260369005,2.2794129033773665,-0.06488765878717177,12.680162384964333,31.764162812387912,71.36613366815828
0.033,-0.3497402147044544,0.14888292322915392,-0.2,-1.5707963267948966,0.0,0.3361275178958323,-0.13972250974707878,0.271113192803584,3.1345254817505115,-0.4715780093165954,-0.6942340041928639,0.292049159511926,-0.47640426961418714,1.5776773378028874,0.4205772478235632,2.4704036662249673,-1292.7899870089495,742.9790908618996,-158.76290972655184,0.4023342550774072,-1.7442982126676543,0.13360184213250825,2.3495018544759607,-0.05786538464210239,12.65529677547853,31.7504263237694,68.81225242047553
0.034,-0.34971676770385923,0.14878210112659454,-0.2,-1.5707963267948966,0.0,0.32822441051605883,-0.1364757988481462,0.26565456685799227,3.134322713132085,-0.5199321395629883,-0.6858433278829765,0.2885041994080818,-0.4711144651345379,1.5778635360378441,0.47158964931747605,2.8804290935031185,-1234.4840353442466,742.8523878045479,-193.1363932134825,0.4022805330988239,-1.7316387124310526,0.16543138208423194,2.417030580707678,-0.04960751251646262,12.669562729028183,31.94144280995622,66.23820438666314
0.035,-0.34969200658,0.148675628294,-0.2,-1.5707963267948966,0.0,0.32078822353837433,-0.1334276578377936,0.26009139972032447,3.1341056814798387,-0.5654308810566854,-0.6779150477277931,0.2851508479390684,-0.46565543662945424,1.5780663265933637,0.5199472914042431,3.367976970661962,-1203.3787629321585,758.1110688637298,-224.8625694970206,0.40223584018379405,-1.7189491493189764,0.1975462550022405,2.481957912239627,-0.039798736463181515,12.713506010352138,32.31660001952605,63.60353325356867
0.036000000000000004,-0.3496659018334208,0.14856337788370946,-0.2,-1.5707963267948966,0.0,0.3138160813159252,-0.13057690107772474,0.25449171266977677,3.133877540196293,-0.6078529968054515,-0.6704525119138911,0.28199035810536643,-0.46009189140685575,1.5782833789586679,0.5654482735592117,3.924111965702295,-1199.4792241370385,787.9148958942227,-252.3873011006365,0.40220188848245675,-1.7062062576791777,0.23011489973475915,2.5442073921165935,-0.02810933139156692,12.773672725475155,32.842302276546285,60.878630273093144
0.037,-0.3496384244600256,0.14844522517811007,-0.2,-1.5707963267948966,0.0,0.3072976850542537,-0.1279192961698976,0.24892504535476667,3.133642324150845,-0.646978833911942,-0.663452832426956,0.27902142600656654,-0.4544918961644415,1.578511535514937,0.6078709758348277,4.539795181077309,-1222.2035431089485,831.0969870999633,-274.360610994358,0.40218072812213007,-1.6934019522036459,0.26326581622689665,2.6036795500070564,-0.014193023231583944,12.833360419972427,33.47262970740606,58.04743789117377
0.038,-0.34960954594877436,0.1483210475797299,-0.2,-1.5707963267948966,0.0,0.30121489361008624,-0.12544740194869752,0.24345977082510975,3.13340488703462,-0.6826127356119919,-0.6569056769479047,0.27623969405842114,-0.4489250362055004,1.5787467568112046,0.6469955263990181,5.2015990637044025,-1270.0535632623958,886.0247250411937,-289.7318091879424,0.40217475445325257,-1.6805458084957745,0.29707686469142514,2.6602662393708183,0.0022931273657790224,12.874299074942025,34.15310769990731,55.10868886814604
0.039,-0.34957923827937915,0.14819072460133054,-0.2,-1.5707963267948966,0.0,0.29554234611117686,-0.12315083923331743,0.2381600192202041,3.1331707120546692,-0.7146024911526163,-0.650792843205202,0.2736375864612023,-0.44345971446908183,1.5789841857393823,0.6826263584223122,5.890765026636235,-1340.4455750325108,950.5494031799806,-297.80803621327135,0.4021866895612929,-1.6676654877600425,0.3315697840374557,2.7138650914559834,0.021657232110014794,12.879005318380447,34.82720128414645,52.07481096743838
