target_joint,step_size,time,q_des,q_actual,q_error,qdot,tau_bias,tau_pd,tau_total_before_clip,tau_total_after_clip,saturation_flag
jnt3,-0.2,0.276,1.216115299,1.2523667623180892,-0.03625146331808926,-0.09704917012173542,-1.9226478670747804,-0.627784393029534,-2.5504322601043143,-2.5504322601043143,False
jnt3,-0.2,0.278,1.216115299,1.252199001816882,-0.03608370281688211,-0.4247724015922441,-1.9375205117109122,1.0363181084185427,-0.9012024032923696,-0.9012024032923696,False
jnt3,-0.2,0.28,1.216115299,1.251343894664553,-0.03522859566455305,-0.08388025060356513,-1.9318419756890768,-0.6631098314886377,-2.5949518071777145,-2.5949518071777145,False
jnt3,-0.2,0.28200000000000003,1.216115299,1.251174124436299,-0.035058825436299124,-0.42755357616447737,-1.9401819129959157,1.0809100108857952,-0.8592719021101205,-0.8592719021101205,False
jnt3,-0.2,0.28400000000000003,1.216115299,1.2503429766567151,-0.034227677656715194,-0.0848851141269561,-1.9191668923174008,-0.6273391924541932,-2.546506084771594,-2.546506084771594,False
jnt3,-0.2,0.28600000000000003,1.216115299,1.2502202077604747,-0.034104908760474784,-0.4155738897919484,-1.9460643753082458,1.0510391192582862,-0.8950252560499596,-0.8950252560499596,False
jnt3,-0.2,0.28800000000000003,1.216115299,1.2493791728466204,-0.03326387384662044,-0.061384448120228696,-1.9341983407916203,-0.7162250222131,-2.6504233630047205,-2.6504233630047205,False
jnt3,-0.2,0.29,1.216115299,1.2492827555955655,-0.033167456595565525,-0.4205174569271219,-1.9488138026906485,1.1046710692369963,-0.8441427334536522,-0.8441427334536522,False
jnt3,-0.2,0.292,1.216115299,1.248434326218281,-0.03231902721828117,-0.04820862552742455,-1.943061865723292,-0.753980570229843,-2.697042435953135,-2.697042435953135,False
jnt3,-0.2,0.294,1.216115299,1.2483359325401546,-0.0322206335401547,-0.42421468864217965,-1.9511522108693546,1.151502626662463,-0.7996495842068916,-0.7996495842068916,False
jnt3,-0.2,0.296,1.216115299,1.2475096499308842,-0.031394350930884274,-0.04919683906323724,-1.9299180424920437,-0.7206348108884547,-2.6505528533804985,-2.6505528533804985,False
jnt3,-0.2,0.298,1.216115299,1.2474584095208117,-0.031343110520811734,-0.4131413046351992,-1.9567390881864273,1.1238759952494677,-0.8328630929369596,-0.8328630929369596,False
jnt3,-0.2,0.3,1.216115299,1.2466511355382848,-0.030535836538284844,-0.025620205036285593,-1.9448141507712298,-0.8121922904429241,-2.7570064412141537,-2.7570064412141537,False
jnt3,-0.2,0.302,1.216115299,1.2465975832080203,-0.03048228420802035,-0.4036369912634356,-1.9040214562894542,1.1021098601686328,-0.8019115961208214,-0.8019115961208214,False
jnt3,-0.2,0.304,1.216115299,1.2457638521862733,-0.029648553186273352,-0.02677616513221348,-1.9619507242928063,-0.7805877005795431,-2.7425384248723494,-2.7425384248723494,False
jnt3,-0.2,0.306,1.216115299,1.245713533373563,-0.029598234373563015,-0.416865510873446,-1.955784789520118,1.1948709587790294,-0.7609138307410885,-0.7609138307410885,False
jnt3,-0.2,0.308,1.216115299,1.2448734906917065,-0.02875819169170657,-0.025159406355186542,-1.9284807853237032,-0.7621499994309577,-2.690630784754661,-2.690630784754661,False
jnt3,-0.2,0.31,1.216115299,1.2448707058257578,-0.028755406825757834,-0.4200213409282193,-1.8814886594396418,1.2373609538898993,-0.6441277055497425,-0.6441277055497425,False
jnt3,-0.2,0.312,1.216115299,1.2440651092294217,-0.02794981022942178,-0.001392432974349156,-1.9615986055971097,-0.8557000399009893,-2.817298645498099,-2.817298645498099,False
jnt3,-0.2,0.314,1.216115299,1.244101818994899,-0.027986519994898984,-0.4027982981679727,-1.9670286852756587,1.17549718395721,-0.7915315013184487,-0.7915315013184487,False
jnt3,-0.2,0.316,1.216115299,1.243307665487375,-0.027192366487374997,0.018354882738595313,-1.9454079004452036,-0.9313700135399461,-2.8767779139851495,-2.8767779139851495,False
jnt3,-0.2,0.318,1.216115299,1.243338439501228,-0.027223140501227983,-0.3970767537620224,-1.9016327603209213,1.169612774188862,-0.7320199861320593,-0.7320199861320593,False
jnt3,-0.2,0.32,1.216115299,1.2425130694170967,-0.02639777041709679,0.015387006926540214,-1.9711249640739448,-0.8936292496695406,-2.8647542137434856,-2.8647542137434856,False
jnt3,-0.2,0.322,1.216115299,1.2425455596873525,-0.026430260687352547,-0.41268504206555656,-1.9703789314260294,1.2714920978148792,-0.6988868336111502,-0.6988868336111502,False
jnt3,-0.2,0.324,1.216115299,1.2417414134753033,-0.025626114475303385,0.016245135127833432,-1.944837994561352,-0.8741334962597436,-2.8189714908210957,-2.8189714908210957,False
jnt3,-0.2,0.326,1.216115299,1.241822987590593,-0.025707688590593136,-0.40207310602455165,-1.9778706825069363,1.2415820958636568,-0.7362885866432796,-0.7362885866432796,False
jnt3,-0.2,0.328,1.216115299,1.2410046143862767,-0.02488931538627681,0.04078705764483859,-1.9682978537166558,-0.975165945941987,-2.943463799658643,-2.943463799658643,False
jnt3,-0.2,0.33,1.216115299,1.2411135773669006,-0.024998278366900717,-0.4091866021581082,-1.9793727457027532,1.2992535492022368,-0.6801191965005164,-0.6801191965005164,False
jnt3,-0.2,0.332,1.216115299,1.2402827515620631,-0.024167452562063207,0.05448149031192662,-1.9748837453455486,-1.0223558025666546,-2.997239547912203,-2.997239547912203,False
jnt3,-0.2,0.334,1.216115299,1.2403903560236587,-0.02427505702365873,-0.4154129024187212,-1.9809003983336864,1.3520409352317095,-0.6288594631019768,-0.6288594631019768,False
jnt3,-0.2,0.336,1.216115299,1.2395763291239477,-0.023461030123947735,0.053802230797757145,-1.9580319499357006,-0.9972628646985476,-2.9552948146342484,-2.9552948146342484,False
jnt3,-0.2,0.338,1.216115299,1.2397318082828397,-0.02361650928283976,-0.4070134498554569,-1.9860634080895387,1.3312363455588523,-0.6548270625306865,-0.6548270625306865,False
jnt3,-0.2,0.34,1.216115299,1.2389311981833937,-0.022815899183393773,0.07773957944602855,-1.9741559911572188,-1.0971931757153355,-3.0713491668725545,-3.0713491668725545,False
jnt3,-0.2,0.342,1.216115299,1.2390848696539556,-0.022969570653955662,-0.4003050497229477,-1.933643409338241,1.3170482731129254,-0.6165951362253157,-0.6165951362253157,False
jnt3,-0.2,0.34400000000000003,1.216115299,1.2382519404681505,-0.02213664146815053,0.0768357352809303,-1.9899381764217223,-1.0732657960233214,-3.0632039724450437,-3.0632039724450437,False
jnt3,-0.2,0.34600000000000003,1.216115299,1.2384095093502336,-0.022294210350233712,-0.4164645929025714,-1.9831024297390123,1.4182237204683408,-0.5648787092706715,-0.5648787092706715,False
jnt3,-0.2,0.34800000000000003,1.216115299,1.237595369092147,-0.02148007009214714,0.07878444104156362,-1.954836919493561,-1.0627485157148295,-3.0175854352083906,-3.0175854352083906,False
jnt3,-0.2,0.35000000000000003,1.216115299,1.2378033856083395,-0.02168808660833954,-0.4070701290433354,-1.9925599403032097,1.3909485424522625,-0.6016113978509472,-0.6016113978509472,False
jnt3,-0.2,0.352,1.216115299,1.2369718013809459,-0.02085650238094594,0.10400825809620251,-1.9847194506432073,-1.1706838887311988,-3.155403339374406,-3.155403339374406,False
jnt3,-0.2,0.354,1.216115299,1.2371772416639308,-0.02106194266393091,-0.41579211369682867,-1.9936153571513193,1.453265497055765,-0.5403498600955543,-0.5403498600955543,False
jnt3,-0.2,0.356,1.216115299,1.2363585573803577,-0.020243258380357787,0.10272014149253705,-1.9716443724676636,-1.1454589873806125,-3.117103359848276,-3.117103359848276,False
jnt3,-0.2,0.358,1.216115299,1.2366115841192973,-0.020496285119297353,-0.40934214178653794,-1.9977120882774109,1.4394129575219559,-0.558299130755455,-0.558299130755455,False
jnt3,-0.2,0.36,1.216115299,1.2358029436900793,-0.01968764469007933,0.126513369469739,-1.9844488192295513,-1.2474554009276155,-3.231904220157167,-3.231904220157167,False
jnt3,-0.2,0.362,1.216115299,1.2360542608042042,-0.01993896180420429,-0.4043202146090298,-1.9435565755513513,1.430971732342769,-0.5125848432085822,-0.5125848432085822,False
jnt3,-0.2,0.364,1.216115299,1.2352101410147052,-0.019094842014705238,0.12565855706245932,-2.0005746883366853,-1.2264616394384253,-3.2270363277751106,-3.2270363277751106,False
jnt3,-0.2,0.366,1.216115299,1.2354657646131864,-0.01935046561318643,-0.422059894749485,-1.994379251853055,1.537454213306268,-0.4569250385467869,-0.4569250385467869,False
jnt3,-0.2,0.368,1.216115299,1.2346374905261583,-0.018522191526158416,0.12781179924058683,-1.9661161205641526,-1.2195729645985272,-3.1856890851626796,-3.1856890851626796,False
jnt3,-0.2,0.37,1.216115299,1.2349442048883152,-0.018828905888315317,-0.41413704351396563,-2.0032352796896458,1.5150194717850756,-0.4882158079045702,-0.4882158079045702,False
jnt3,-0.2,0.372,1.216115299,1.2340955356211345,-0.01798023662113457,0.1533571810784583,-1.9946780569227796,-1.331653082041751,-3.3263311389645303,-3.3263311389645303,False
jnt3,-0.2,0.374,1.216115299,1.2344003605692448,-0.01828506156924492,-0.42433463359041146,-2.004026528816662,1.58226606931802,-0.42176045949864216,-0.42176045949864216,False
jnt3,-0.2,0.376,1.216115299,1.2335616842715356,-0.017446385271535636,0.1524124740552094,-1.9820066641150678,-1.3106142173533946,-3.292620881468462,-3.292620881468462,False
jnt3,-0.2,0.378,1.216115299,1.233914950400393,-0.01779965140039308,-0.41933814885469134,-2.0077123299335513,1.5732991861273877,-0.4344131438061636,-0.4344131438061636,False
jnt3,-0.2,0.38,1.216115299,1.2330524594031271,-0.016937160403127205,0.1766330644287425,-1.9938335508256873,-1.417154864155505,-3.410988414981192,-3.410988414981192,False
jnt3,-0.2,0.382,1.216115299,1.2334338555876088,-0.017318556587608835,-0.43124549863298534,-2.0087880073783992,1.6481126810711104,-0.3606753263072888,-0.3606753263072888,False
jnt3,-0.2,0.384,1.216115299,1.2325502148802596,-0.016434915880259693,0.19069809224077283,-2.0011412071276675,-1.4730471588321292,-3.4741883659597965,-3.4741883659597965,False
jnt3,-0.2,0.386,1.216115299,1.2329318251068586,-0.016816526106858687,-0.4418203536745765,-2.0094634547183117,1.7160542919650918,-0.2934091627532198,-0.2934091627532198,False
jnt3,-0.2,0.388,1.216115299,1.2320567508838414,-0.01594145188384144,0.19080511329944194,-1.9869195340602832,-1.4585213497029703,-3.4454408837632533,-3.4454408837632533,False
jnt3,-0.2,0.39,1.216115299,1.232488512023493,-0.01637321302349304,-0.43753711150859387,-2.0132376581792397,1.709442001027726,-0.3037956571515137,-0.3037956571515137,False
jnt3,-0.2,0.392,1.216115299,1.231587776524731,-0.015472477524731021,0.21588056982576775,-1.9995947323348655,-1.57059923983363,-3.5701939721684957,-3.5701939721684957,False
jnt3,-0.2,0.394,1.216115299,1.232049149487383,-0.01593385048738316,-0.4503677493810412,-2.014140899793884,1.7876644211632753,-0.22647647863060882,-0.22647647863060882,False
jnt3,-0.2,0.396,1.216115299,1.2311251865562527,-0.015009887556252766,0.23068648132610226,-2.006638481947739,-1.631447921252006,-3.638086403199745,-3.638086403199745,False
jnt3,-0.2,0.398,1.216115299,1.231588165983883,-0.01547286698388306,-0.4619814655651976,-2.014707401015296,1.859610701138405,-0.155096699876891,-0.155096699876891,False
jnt3,-0.2,0.4,1.216115299,1.2306705556670927,-0.014555256667092786,0.23148971381511907,-1.9919397856910994,-1.6216345785920872,-3.6135743642831866,-3.6135743642831866,False
jnt3,-0.2,0.402,1.216115299,1.2311850878670405,-0.015069788867040579,-0.45880515839517877,-2.0184233807414578,1.8573680919631101,-0.16105528877834763,-0.16105528877834763,False
jnt3,-0.2,0.404,1.216115299,1.2302394804667565,-0.014124181466756536,0.2572660999738443,-2.004800948268131,-1.738424165880439,-3.74322511414857,-3.74322511414857,False
jnt3,-0.2,0.406,1.216115299,1.2307850289261937,-0.014669729926193753,-0.4728037001420565,-2.0192103210133814,1.9402930567075867,-0.07891726430579471,-0.07891726430579471,False
