t,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,ee_ax,ee_ay,ee_az,ee_awx,ee_awy,ee_awz,q_act_1,q_act_2,q_act_3,q_act_4,dq_act_1,dq_act_2,dq_act_3,dq_act_4,ddq_act_1,ddq_act_2,ddq_act_3,ddq_act_4,q_1,q_2,q_3,q_4,dq_1,dq_2,dq_3,dq_4,ddq_1,ddq_2,ddq_3,ddq_4,des_x,des_y,des_z,err_x,err_y,err_z,following_error,des_q_1,des_q_2,des_q_3,des_q_4,err_q_1,err_q_2,err_q_3,err_q_4,following_error_q,des_roll,des_pitch,des_yaw,err_roll,err_pitch,err_yaw,following_error_ori
0.02,-0.349945,0.149764,3.62052e-10,-1.5708,2.94781e-15,-0.404378,0.00885337,-0.0380425,5.48963e-07,-1.9082e-15,-4.44089e-15,0.0827304,0,0,0,0,0,0,-5.13228,0.163123,0.352806,-0.263426,-0.15512,-0.012563,0.0540369,0.0289109,0,0,0,0,-2.73721,1.08749,1.17602,-0.878085,-0.0827304,-0.0837534,0.180123,0.0963695,0,0,0,0,-0.34994,0.149741,0,5.26678e-06,-2.2665e-05,-3.62052e-10,2.32689e-05,-2.73721,1.08749,1.17602,-0.878085,0,0,0,0,0,-1.5708,0,nan,0,-3.10862e-15,nan,3.10862e-15
0.021,-0.349936,0.149726,4.43702e-10,-1.5708,1.11594e-15,-0.404296,0.0097209,-0.0417672,6.65248e-07,-1.94983e-15,-4.52416e-15,0.0908405,0,0,0,0,0,0,-5.13243,0.163111,0.35286,-0.263397,-0.170326,-0.0137898,0.0593145,0.031735,0,0,0,0,-2.7373,1.0874,1.1762,-0.87799,-0.0908405,-0.0919318,0.197715,0.105783,0,0,0,0,-0.349931,0.149701,0,5.81441e-06,-2.50238e-05,-4.43702e-10,2.56904e-05,-2.7373,1.0874,1.1762,-0.87799,0,0,0,0,0,-1.5708,0,nan,0,-1.33227e-15,nan,1.33227e-15
0.022,-0.349927,0.149685,5.38027e-10,-1.5708,3.94299e-16,-0.404207,0.010625,-0.0456483,7.98435e-07,-2.19269e-15,-5.07927e-15,0.099294,0,0,0,0,0,0,-5.1326,0.163097,0.352918,-0.263366,-0.186176,-0.0150672,0.0648106,0.0346761,0,0,0,0,-2.73739,1.08731,1.17639,-0.877886,-0.099294,-0.100448,0.216035,0.115587,0,0,0,0,-0.34992,0.149657,0,6.38659e-06,-2.74888e-05,-5.38027e-10,2.8221e-05,-2.73739,1.08731,1.17639,-0.877886,0,0,0,0,0,-1.5708,0,nan,0,-4.44089e-16,nan,4.44089e-16
0.023,-0.349916,0.14964,6.4616e-10,-1.5708,1.16743e-16,-0.404109,0.0115652,-0.0496838,9.49929e-07,-2.51188e-15,-5.85643e-15,0.108087,0,0,0,0,0,0,-5.13278,0.163082,0.352982,-0.263331,-0.202662,-0.0163945,0.0705213,0.0377322,0,0,0,0,-2.73748,1.08721,1.17661,-0.877771,-0.108087,-0.109297,0.235071,0.125774,0,0,0,0,-0.349909,0.14961,0,6.98295e-06,-3.00585e-05,-6.4616e-10,3.08589e-05,-2.73748,1.08721,1.17661,-0.877771,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.024,-0.349905,0.149591,7.69261e-10,-1.5708,1.16743e-16,-0.404002,0.012541,-0.0538713,1.12116e-06,-2.72005e-15,-6.32827e-15,0.117214,0,0,0,0,0,0,-5.13298,0.163066,0.353052,-0.263294,-0.219775,-0.0177707,0.0764428,0.0409013,0,0,0,0,-2.73759,1.08711,1.17684,-0.877647,-0.117214,-0.118471,0.254809,0.136338,0,0,0,0,-0.349897,0.149558,0,7.60313e-06,-3.27313e-05,-7.69261e-10,3.36028e-05,-2.73759,1.08711,1.17684,-0.877647,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.025,-0.349892,0.149538,9.0851e-10,-1.5708,6.12323e-17,-0.403886,0.0135519,-0.0582085,1.31357e-06,-3.01842e-15,-7.02216e-15,0.126671,0,0,0,0,0,0,-5.1332,0.163048,0.353127,-0.263254,-0.237508,-0.0191949,0.0825711,0.0441813,0,0,0,0,-2.73771,1.08699,1.17709,-0.877513,-0.126671,-0.127966,0.275237,0.147271,0,0,0,0,-0.349884,0.149502,0,8.24677e-06,-3.55058e-05,-9.0851e-10,3.64509e-05,-2.73771,1.08699,1.17709,-0.877513,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.026,-0.349879,0.14948,1.06511e-09,-1.5708,5.72119e-18,-0.403761,0.0145973,-0.0626933,1.52864e-06,-3.407e-15,-7.91034e-15,0.136454,0,0,0,0,0,0,-5.13343,0.163029,0.353209,-0.26321,-0.255852,-0.0206661,0.0889023,0.0475701,0,0,0,0,-2.73783,1.08686,1.17736,-0.877367,-0.136454,-0.137774,0.296341,0.158567,0,0,0,0,-0.34987,0.149442,0,8.9135e-06,-3.83805e-05,-1.06511e-09,3.94019e-05,-2.73783,1.08686,1.17736,-0.877367,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.027,-0.349865,0.149418,1.24028e-09,-1.5708,-1.05301e-16,-0.403626,0.0156768,-0.0673233,1.76786e-06,-3.27516e-15,-7.60503e-15,0.146559,0,0,0,0,0,0,-5.13369,0.163009,0.353297,-0.263163,-0.274798,-0.0221835,0.0954325,0.0510655,0,0,0,0,-2.73797,1.08673,1.17766,-0.87721,-0.146559,-0.14789,0.318108,0.170218,0,0,0,0,-0.349855,0.149377,0,9.60296e-06,-4.13538e-05,-1.24028e-09,4.24541e-05,-2.73797,1.08673,1.17766,-0.87721,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.028,-0.349849,0.149351,1.43524e-09,-1.5708,6.12323e-17,-0.403481,0.0167899,-0.0720965,2.03272e-06,-3.67761e-15,-8.57647e-15,0.156982,0,0,0,0,0,0,-5.13396,0.162987,0.353391,-0.263113,-0.294341,-0.023746,0.102158,0.0546656,0,0,0,0,-2.73811,1.08658,1.17797,-0.877042,-0.156982,-0.158307,0.340525,0.182219,0,0,0,0,-0.349839,0.149307,0,1.03148e-05,-4.44243e-05,-1.43524e-09,4.56061e-05,-2.73811,1.08658,1.17797,-0.877042,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.029,-0.349833,0.14928,1.65125e-09,-1.5708,6.12323e-17,-0.403325,0.017936,-0.0770105,2.32473e-06,-4.05231e-15,-9.46465e-15,0.167718,0,0,0,0,0,0,-5.13425,0.162963,0.353492,-0.263058,-0.314471,-0.0253527,0.109074,0.0583681,0,0,0,0,-2.73827,1.08642,1.17831,-0.876861,-0.167718,-0.169018,0.363579,0.19456,0,0,0,0,-0.349821,0.149232,0,1.10487e-05,-4.75906e-05,-1.65125e-09,4.88563e-05,-2.73827,1.08642,1.17831,-0.876861,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.03,-0.349815,0.149204,1.88954e-09,-1.5708,3.38788e-16,-0.403159,0.0191148,-0.0820632,2.64541e-06,-3.89966e-15,-9.04832e-15,0.178763,0,0,0,0,0,0,-5.13456,0.162938,0.3536,-0.263001,-0.335181,-0.0270027,0.116176,0.062171,0,0,0,0,-2.73843,1.08626,1.17867,-0.876669,-0.178763,-0.180018,0.387255,0.207237,0,0,0,0,-0.349803,0.149153,0,1.18042e-05,-5.08511e-05,-1.88954e-09,5.22032e-05,-2.73843,1.08626,1.17867,-0.876669,0,0,0,0,0,-1.5708,0,nan,0,-4.44089e-16,nan,4.44089e-16
0.031,-0.349796,0.149122,2.15138e-09,-1.5708,6.12323e-17,-0.402982,0.0203256,-0.0872523,2.99627e-06,-4.27436e-15,-9.96425e-15,0.190114,0,0,0,0,0,0,-5.1349,0.162912,0.353715,-0.262939,-0.356464,-0.0286949,0.123462,0.0660719,0,0,0,0,-2.73861,1.08608,1.17905,-0.876464,-0.190114,-0.1913,0.411539,0.22024,0,0,0,0,-0.349783,0.149068,0,1.2581e-05,-5.42044e-05,-2.15138e-09,5.56453e-05,-2.73861,1.08608,1.17905,-0.876464,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.032,-0.349776,0.149036,2.43803e-09,-1.5708,5.72119e-18,-0.402793,0.021568,-0.0925758,3.37882e-06,-4.41314e-15,-1.02696e-14,0.201767,0,0,0,0,0,0,-5.13525,0.162883,0.353838,-0.262874,-0.378313,-0.0304285,0.130926,0.0700688,0,0,0,0,-2.7388,1.08589,1.17946,-0.876246,-0.201767,-0.202856,0.436419,0.233563,0,0,0,0,-0.349762,0.148978,0,1.33788e-05,-5.7649e-05,-2.43803e-09,5.91811e-05,-2.7388,1.08589,1.17946,-0.876246,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.033,-0.349754,0.148944,2.75073e-09,-1.5708,6.12323e-17,-0.402593,0.0228415,-0.0980315,3.79459e-06,-4.63518e-15,-1.07969e-14,0.213717,0,0,0,0,0,0,-5.13562,0.162853,0.353967,-0.262804,-0.40072,-0.0322022,0.138564,0.0741594,0,0,0,0,-2.739,1.08569,1.17989,-0.876014,-0.213717,-0.214682,0.46188,0.247198,0,0,0,0,-0.34974,0.148883,0,1.41972e-05,-6.11835e-05,-2.75073e-09,6.28091e-05,-2.739,1.08569,1.17989,-0.876014,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.034,-0.349732,0.148847,3.09075e-09,-1.5708,-1.60812e-16,-0.402381,0.0241457,-0.103617,4.24506e-06,-4.96825e-15,-1.16018e-14,0.225962,0,0,0,0,0,0,-5.13602,0.162821,0.354105,-0.262731,-0.423678,-0.0340153,0.146372,0.0783416,0,0,0,0,-2.73921,1.08547,1.18035,-0.875769,-0.225962,-0.226769,0.487907,0.261139,0,0,0,0,-0.349717,0.148782,0,1.50358e-05,-6.48065e-05,-3.09075e-09,6.65279e-05,-2.73921,1.08547,1.18035,-0.875769,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.035,-0.349708,0.148744,3.45932e-09,-1.5708,-3.27346e-16,-0.402157,0.02548,-0.109331,4.73173e-06,-5.21805e-15,-1.2268e-14,0.238496,0,0,0,0,0,0,-5.13644,0.162787,0.35425,-0.262653,-0.447181,-0.0358666,0.154346,0.0826129,0,0,0,0,-2.73944,1.08525,1.18083,-0.875511,-0.238496,-0.23911,0.514487,0.275376,0,0,0,0,-0.349692,0.148676,0,1.58944e-05,-6.85165e-05,-3.45932e-09,7.03359e-05,-2.73944,1.08525,1.18083,-0.875511,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.036,-0.349683,0.148636,3.8577e-09,-1.5708,-1.60812e-16,-0.40192,0.026844,-0.11517,5.25609e-06,-5.91194e-15,-1.38778e-14,0.251318,0,0,0,0,0,0,-5.13689,0.162752,0.354403,-0.262571,-0.47122,-0.0377551,0.162481,0.0869713,0,0,0,0,-2.73967,1.08501,1.18134,-0.875238,-0.251318,-0.251701,0.541605,0.289904,0,0,0,0,-0.349666,0.148563,0,1.67725e-05,-7.23121e-05,-3.8577e-09,7.42318e-05,-2.73967,1.08501,1.18134,-0.875238,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.037,-0.349656,0.148521,4.2871e-09,-1.5708,-1.05301e-16,-0.401671,0.0282372,-0.121132,5.81959e-06,-5.9952e-15,-1.40443e-14,0.264422,0,0,0,0,0,0,-5.13735,0.162715,0.354564,-0.262485,-0.495791,-0.0396798,0.170774,0.0914143,0,0,0,0,-2.73992,1.08476,1.18188,-0.87495,-0.264422,-0.264532,0.569246,0.304714,0,0,0,0,-0.349638,0.148445,0,1.76698e-05,-7.61918e-05,-4.2871e-09,7.82139e-05,-2.73992,1.08476,1.18188,-0.87495,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.038,-0.349628,0.148401,4.74875e-09,-1.5708,-1.60812e-16,-0.401408,0.0296591,-0.127216,6.42367e-06,-6.17562e-15,-1.44884e-14,0.277806,0,0,0,0,0,0,-5.13785,0.162675,0.354733,-0.262395,-0.520886,-0.0416396,0.179219,0.0959398,0,0,0,0,-2.74018,1.0845,1.18244,-0.874648,-0.277806,-0.277597,0.597397,0.319799,0,0,0,0,-0.34961,0.148321,0,1.8586e-05,-8.01544e-05,-4.74875e-09,8.2281e-05,-2.74018,1.0845,1.18244,-0.874648,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.039,-0.349599,0.148275,5.24383e-09,-1.5708,-1.05301e-16,-0.401133,0.0311092,-0.13342,7.06976e-06,-6.32827e-15,-1.48215e-14,0.291466,0,0,0,0,0,0,-5.13836,0.162634,0.354911,-0.262299,-0.546498,-0.0436335,0.187812,0.100545,0,0,0,0,-2.74046,1.08423,1.18304,-0.874331,-0.291466,-0.29089,0.626041,0.335151,0,0,0,0,-0.349579,0.148191,0,1.95207e-05,-8.41982e-05,-5.24383e-09,8.64314e-05,-2.74046,1.08423,1.18304,-0.874331,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.04,-0.349568,0.148142,5.77353e-09,-1.5708,-3.27346e-16,-0.400843,0.0325871,-0.139741,7.75924e-06,-7.49401e-15,-1.7486e-14,0.305398,0,0,0,0,0,0,-5.13891,0.162591,0.355097,-0.2622,-0.572622,-0.0456604,0.196549,0.105229,0,0,0,0,-2.74075,1.08394,1.18366,-0.873999,-0.305398,-0.304403,0.655165,0.350762,0,0,0,0,-0.349547,0.148054,0,2.04736e-05,-8.8322e-05,-5.77353e-09,9.06639e-05,-2.74075,1.08394,1.18366,-0.873999,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
