residual_gain,residual_filter_tau,final_fade_duration,max_delta_force_per_step,mean_delta_ee_rms,mean_delta_final_ee,mean_delta_max_ee,mean_delta_rms_ee_error_velocity,mean_delta_rms_highfreq,mean_delta_p2p_error_norm,mean_delta_saturation_frac,mean_delta_limit_frac,mean_delta_reward,improvement_ratio,ncon_max,selection_score
0.5,0.05,0.3,none,-0.000732782976998232,0.0019696168938861027,-0.0013354244431589926,-0.011576539859416628,-0.00017358529303982266,-0.0013044484406689175,-0.014758147310568157,-0.0023651459733728536,32.76689979136766,0.7,0,0.0012368339168878709
0.5,0.05,0.3,0.2,-0.0006526518553613984,0.0021846429457572742,-0.0007129215881346667,-0.0010950563447739425,1.6453943368702525e-05,-0.0007039170377912669,-0.0012416008684023815,-0.002511814340936743,21.91453035477316,0.7666666666666667,0,0.0015402180620802271
0.5,0.05,0.3,0.3,-0.0009257907920877513,0.0006345921905802529,-0.0016605808058394122,-0.01240842693353566,-0.00015652821329879672,-0.0016422316701154328,-0.014707236092190984,-0.002599360040503947,39.03652550602177,0.7,0,-0.00029119860150749843
0.5,0.05,0.5,none,-0.0007340467753451857,0.0014502276745947612,-0.0013789781139653232,-0.011523636975175779,-0.00017175157994627716,-0.001348002111475248,-0.014814578845837869,-0.0025053949360284555,34.18400225311052,0.7,0,0.0007161808992495756
0.5,0.05,0.5,0.2,-0.0006533785652748062,0.0021493544454635038,-0.0007627360441788594,-0.0010931821858243078,1.6261873268267993e-05,-0.0007537314938354596,-0.0011082675350690481,-0.002511814340936743,21.92044572510834,0.7333333333333333,0,0.0015041068168228317
0.5,0.05,0.5,0.3,-0.000929127602887831,0.000520919772401088,-0.0017058329247382532,-0.012404523740609245,-0.00015677746262135386,-0.0016874837890142743,-0.014840569425524317,-0.002599360040503947,39.075028480705804,0.7,0,-0.000408207830486743
0.5,0.05,0.8,none,-0.0007378014334930701,0.001577830996904651,-0.0014043155779783602,-0.011611465359415877,-0.00017494438037351002,-0.0013733395754882856,-0.014624813977234825,-0.0021651459733728535,31.86344558802278,0.7,0,0.0008400295634115809
0.5,0.05,0.8,0.2,-0.000637196866578753,0.0023529721235217545,-0.0007624197156317015,-0.0010938132745536696,1.6536502839702496e-05,-0.0007534228289100374,-0.0012416008684023815,-0.0023784810076034097,21.08181193517909,0.7333333333333333,0,0.0017240435083628527
0.5,0.05,0.8,0.3,-0.0009273955405269372,0.00044589259968934823,-0.0017113348905471715,-0.012421855079388774,-0.0001573860326798197,-0.0016929857548231924,-0.014840569425524317,-0.002466026707170614,38.41435607441235,0.7,0,-0.000481502940837589
0.5,0.08,0.0,none,-0.0008346662051003362,-0.000577535714669979,-0.0011621379956977505,-0.012099808939151642,-0.00019412199723917409,-0.0011442741843386305,-0.015207670215197155,-0.0015839636687924015,30.465887881741704,0.7333333333333333,0,-0.0008346662051003362
0.5,0.08,0.0,0.2,-0.0005113890586876916,0.0016919861289854746,-0.0006878218180338555,-0.0011568171022093585,2.0640945762323385e-05,-0.0006845991163334103,0.0014505093201180022,-0.0005315125162571074,10.046926643579111,0.7,0,0.001335968475190745
0.5,0.08,0.0,0.3,-9.102091835418857e-05,0.0018863086099203223,0.00047384334455453974,0.009606982418296559,0.00022568450593710558,0.00047836947068395365,0.015073190118782198,-0.00109258189778718,-7.164317288657185,0.7,0,0.003511122850549697
0.5,0.08,0.3,none,-0.0008390509979201114,-0.0007724941492182766,-0.0011972641862122478,-0.012098433260592147,-0.0001942902339953847,-0.0011794003748531287,-0.015207670215197155,-0.0015839636687924015,30.531974995931765,0.7333333333333333,0,-0.0008390509979201114
0.5,0.08,0.3,0.2,-0.000514559434707606,0.001647166501575759,-0.0007378644575102009,-0.001164123493747719,2.0592571577242312e-05,-0.0007348498564540824,0.0014505093201180022,-0.0005315125162571074,10.103997789265122,0.7,0,0.0012879542846685745
0.5,0.08,0.3,0.3,-9.618477723372891e-05,0.0017015838525911806,0.0003040452530892224,0.009593532433777046,0.00022495592661672296,0.0003085713792186363,0.015073190118782198,-0.0010259152311205132,-7.420097432320472,0.7,0,0.0032869103263877602
0.5,0.08,0.5,none,-0.0008439235044864375,-0.0009374621017416276,-0.0012401968092534256,-0.012091187919251657,-0.00019430909987301406,-0.0012223329978943058,-0.015274336881863823,-0.0015839636687924015,30.58654185172248,0.7333333333333333,0,-0.0008439235044864375
0.5,0.08,0.5,0.2,-0.0005132596705818896,0.0016894355974352076,-0.0007616229324126642,-0.0011594070041221094,2.0434775336074675e-05,-0.0007586083313565457,0.0013838426534513355,-0.0005315125162571074,10.088756682975994,0.7,0,0.0013247775798664889
0.5,0.08,0.5,0.3,-9.628001568762028e-05,0.0017853830815889144,0.00024098173013214184,0.009605198707738112,0.00022474512709374727,0.00024550785626155575,0.015073190118782198,-0.0010259152311205132,-7.419532888603863,0.7,0,0.0033578962125786985
0.5,0.08,0.8,none,-0.0008384246087836812,-0.0010657523412439484,-0.0012558745009341832,-0.012096651442995416,-0.0001944100541394874,-0.0012380106895750636,-0.015207670215197155,-0.0015172970021257348,30.185838491271717,0.7333333333333333,0,-0.0008384246087836812
0.5,0.08,0.8,0.2,-0.000500725423578208,0.0015423531348620534,-0.0007576177610207881,-0.0011375039585140043,2.0982366357012957e-05,-0.0007543218012036294,0.0014505093201180022,-0.00046484584959044067,9.606024573002166,0.7,0,0.0011971698264741522
0.5,0.08,0.8,0.3,-8.323849145082413e-05,0.0017662306740367354,0.00023071561983499267,0.009628526189577219,0.00022475392091752882,0.0002352417459644066,0.015006523452115532,-0.0008925818977871797,-8.244231538509485,0.7,0,0.0033430698374491102
0.5,0.12,0.0,none,-0.0005204666485746384,0.00030116348564945486,-0.0007279399188233132,-0.0009795839860881857,-1.806300617286334e-05,-0.0007222591615492607,0.001814218471771308,-0.0014192836348824595,19.52923059388219,0.7666666666666667,0,-3.7881315748052675e-05
0.5,0.12,0.0,0.2,-0.000808020127161516,0.001115587296352336,-0.0009413759642540921,-0.00816502631041177,-0.00019146824555692885,-0.0009487444321094595,-0.010929629029822701,-0.00021219734123284484,32.399863814244355,0.6666666666666666,0,0.00030756716919082
0.5,0.12,0.0,0.3,-0.0008910366873328886,-3.686399753005647e-05,-0.0015526783472002577,-0.009648581950830615,-0.00019648777192180124,-0.0015591013160994665,-0.013931398431012544,-0.0007710660804524401,33.49305924231109,0.6666666666666666,0,-0.0008910366873328886
0.5,0.12,0.3,none,-0.0005239914829324026,0.0001443434393357904,-0.0008689710260486864,-0.0009813836937884143,-1.847368609181775e-05,-0.0008632902687746338,0.0017475518051046413,-0.0014192836348824595,19.581995212558347,0.7666666666666667,0,-0.00020489286308614807
0.5,0.12,0.3,0.2,-0.000810916697617374,0.001033248457763088,-0.0009918694843967745,-0.008174695588875009,-0.00019177422266949308,-0.000999237952252142,-0.010862962363156035,-0.00021219734123284484,32.4471316583377,0.7,0,0.00022233176014571393
0.5,0.12,0.3,0.3,-0.0008931855888806913,-6.012667593390944e-05,-0.0016123985621189422,-0.009656405017053163,-0.00019684429220335732,-0.0016188215310181512,-0.013931398431012544,-0.0007710660804524401,33.53849171615438,0.6666666666666666,0,-0.0008931855888806913
0.5,0.12,0.5,none,-0.0005246990253935032,0.00012080992223429647,-0.000935693530824309,-0.0009764065866418851,-1.8718672582290995e-05,-0.0009300127735502564,0.0017475518051046413,-0.0014192836348824595,19.58493380791042,0.7666666666666667,0,-0.00022913392264874255
0.5,0.12,0.5,0.2,-0.0008086859053899289,0.0010436522428486476,-0.0010114580098980282,-0.008171800563963744,-0.0001921583269970037,-0.0010188264777533957,-0.010796295696489369,-0.00021219734123284484,32.41596301116515,0.7,0,0.0002349663374587187
0.5,0.12,0.5,0.3,-0.0008918096743309374,-0.00017071115165792522,-0.0016174332109784148,-0.009661195005308099,-0.0001970619348104385,-0.0016238561798776238,-0.013931398431012544,-0.0007710660804524401,33.52708114122894,0.6666666666666666,0,-0.0008918096743309374
