step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
26,0.2700000000000001,sac,0.247338863438848,-0.20159668193669122,-0.10053222731223041,0.24696687783876445,-0.20206886206511263,-0.10069793883673997,0.0006235284032831685,0.0007076475958935563,-1.570803106772076,-1.570803080976326,-5.264885037714606e-06,-0.0022588960438119088,0.00022124775440940421,0,0,0,0,0.18430749275480493,-6.85131645927573,-1.328032804192789,0.02934496632890892,-0.3389426928569385,-0.42144574124407846,-0.3276768644136881,-0.008209234198197789,-0.0026600369204988488
27,0.2800000000000001,sac,0.247051314634752,-0.20176921121914881,-0.1005897370730496,0.24657847139747505,-0.2023258890167899,-0.10077779179363144,0.0007542118239315797,0.0006913210191297791,-1.570803106772076,-1.5708030764425414,-5.264885037714606e-06,-0.0027690392156363153,0.0002310418040809712,0,0,0,0,0.14332684607437834,-6.891946023674729,-1.3404189337864847,0.028818966450488214,-0.3215549433617338,-0.4175944949379349,-0.2729602547623463,-0.00783537764806824,-0.0039422455596585535
28,0.2900000000000001,sac,0.246745244635136,-0.2019528532189184,-0.10065095107297281,0.2461583311109747,-0.20257955004273917,-0.1008696516451818,0.0008860284048014549,0.0004230126569689848,-1.570803106772076,-1.5708030722699087,-5.264885037714606e-06,-0.003318100208914654,0.0002401148812355696,0,0,0,0,0.16823208962840067,-6.928777904296778,-1.3670499997905483,0.03948038224907963,-0.3041900889336099,-0.42325053779223126,-0.23416248574109524,-0.007938915036078466,-0.004052646413427548
29,0.3000000000000001,sac,0.24642027519999998,-0.20214783488000002,-0.10071594496000001,0.24570184250495092,-0.20283223692212357,-0.10096846570238313,0.0010238742197711968,0.00041916962488147377,-1.570803106772076,-1.5708030682800147,-5.264885037714606e-06,-0.003929617536124308,0.00025323153125049057,0,0,0,0,0.15966747923549734,-6.934094883587798,-1.3810294534637824,0.05019576334773587,-0.3110242766988086,-0.4290105674952299,-0.23601368552290566,-0.00824022842188226,-0.0031651264480892054
30,0.3100000000000001,sac,0.246076045784064,-0.20235437252956162,-0.1007847908431872,0.2452142222786361,-0.20308815786191542,-0.10106526888948769,0.001166125466209429,0.00046790699069668417,-1.570803106772076,-1.5708030643978579,-5.264885037714606e-06,-0.004564999363896982,0.00026780787111128814,0,0,0,0,0.1619925235096271,-6.884346148193671,-1.35044599166773,0.04216933008969587,-0.3319325737211695,-0.42441836495765467,-0.2650437754933819,-0.008802641479771129,-0.0015081541724511589
31,0.3200000000000001,sac,0.245712213352448,-0.2025726719885312,-0.1008575573295104,0.24469482753628852,-0.20335255817186795,-0.10116022177908612,0.0013171568345945062,0.0005117419607543791,-1.570803106772076,-1.5708030604658978,-5.264885037714606e-06,-0.0052256710281246566,0.00028507390322400747,0,0,0,0,0.13702341752962213,-6.874365700758548,-1.3463181339854766,0.04406491971623103,-0.3285812082097936,-0.3968897538438676,-0.29900942312909456,-0.009771280904947749,0.0006723745210597588
32,0.3300000000000001,sac,0.245328452196352,-0.20280292868218883,-0.1009343095607296,0.24415041114952676,-0.20362218819336428,-0.10125519381102902,0.0014703515078873957,0.0007248927069957496,-1.570803106772076,-1.5708030564909545,-5.264885037714606e-06,-0.0059147185056436236,0.0002989364672181001,0,0,0,0,0.11384657367960271,-6.905273408790979,-1.3653781593379157,0.05243843410743673,-0.2996389690750071,-0.35880625676272004,-0.3187414550675914,-0.010287738662173291,0.0014507738518837914
33,0.34000000000000014,sac,0.244924453748736,-0.20304532775075843,-0.10101510925025281,0.24359117565477698,-0.20389415215949716,-0.10134953307794783,0.0016155409772679473,0.000747374187999027,-1.570803106772076,-1.5708030525763717,-5.264885037714606e-06,-0.006601702506263907,0.00030326138715671357,0,0,0,0,0.10183286654912763,-6.923144607574247,-1.3897777349927831,0.06612648615232156,-0.30713917174121524,-0.3454423109193904,-0.34766115696254885,-0.011336646732656113,0.0021262262477973162
34,0.35000000000000014,sac,0.24449992639999998,-0.20330004416000003,-0.10110001472,0.24302085051194355,-0.20416609291120236,-0.1014405785020005,0.001747480933143339,0.0006975024136181918,-1.570803106772076,-1.5708030486871412,-5.264885037714606e-06,-0.007293435479831301,0.0002982172223796923,0,0,0,0,0.08773099731470126,-6.897456798086825,-1.3675400632802772,0.05914242000954664,-0.29211271831054747,-0.31005168657616095,-0.36990510679918875,-0.012372003573762249,0.0016860303456756787
35,0.36000000000000015,sac,0.244054595313664,-0.2035672428118016,-0.10118908093726721,0.24244239196875775,-0.20444048627914108,-0.10153272303380029,0.0018654339090644848,0.000959817894870693,-1.570803106772076,-1.570803044740352,-5.264885037714606e-06,-0.007991877826357019,0.0002859313570020431,0,0,0,0,0.09327341513131229,-6.885296979999298,-1.3461426859422878,0.050028292845047104,-0.2848701332866491,-0.26432903290597015,-0.35996099739170173,-0.013171573762331528,0.0003342859927790464
