step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
20,0.21000000000000005,zero,0.248698668580864,-0.20078079885148162,-0.10026026628382721,0.249637924672609,-0.19969825612240785,-0.10023479317002959,0.0014334397949258679,0.0019158936873613901,-1.570803106772076,-1.5708031192523466,-5.264885037714606e-06,-0.0007500700440679076,0.0002495600890462856,0,0,0,0,0.10759198600804558,-6.952391304847421,-1.3523733008929064,0.017927269158132895,0.0,0.0,0.0,0.0,0.0
21,0.22000000000000006,zero,0.248513289781248,-0.2008920261312512,-0.1002973420437504,0.24957068974462193,-0.19974869967900966,-0.10024402800854532,0.001558246593222097,0.0022244502154667918,-1.570803106772076,-1.5708031182598057,-5.264885037714606e-06,-0.0008472662258243169,0.000255678656873755,0,0,0,0,0.11775363420469527,-6.98454046868313,-1.3855597996467155,0.033088399448152825,0.0,0.0,0.0,0.0,0.0
22,0.23000000000000007,zero,0.248312041137152,-0.2010127753177088,-0.10033759177256961,0.24949230218811239,-0.19981004853775822,-0.10024943598394001,0.0016874060858884416,0.0022079226596008915,-1.570803106772076,-1.5708031169923482,-5.264885037714606e-06,-0.0009587625994202931,0.0002631831689907104,0,0,0,0,0.13334447773581426,-6.967919764439065,-1.370354038019661,0.02793030520485597,0.0,0.0,0.0,0.0,0.0
23,0.24000000000000007,zero,0.248094434369536,-0.2011433393782784,-0.10038111312609281,0.24940960371432938,-0.1998909377411159,-0.1002548888790741,0.0018204704959946594,0.0025326831392855852,-1.570803106772076,-1.5708031155611952,-5.264885037714606e-06,-0.0010019419676225993,0.0002732574273074531,0,0,0,0,0.13004087802048298,-6.928609914419571,-1.3723045768536846,0.0373889780441215,0.0,0.0,0.0,0.0,0.0
24,0.25000000000000006,zero,0.24786,-0.20128400000000002,-0.100428,0.24931039639917044,-0.1999844427899442,-0.10026131875179034,0.0019545539888781165,0.0020207520873307392,-1.570803106772076,-1.5708031138780538,-5.264885037714606e-06,-0.0010665008053551972,0.00028035660133350935,0,0,0,0,0.1459037766499242,-6.960303431841182,-1.3739751023194668,0.03230238065861357,0.0,0.0,0.0,0.0,0.0
25,0.26000000000000006,zero,0.247608287166464,-0.20143502770012162,-0.10047834256670721,0.24918586186476965,-0.20008905352287518,-0.1002719441545534,0.002083983857684133,0.002724091873383378,-1.570803106772076,-1.5708031119270556,-5.264885037714606e-06,-0.001191853942339005,0.00028026685317639026,0,0,0,0,0.11903983689618555,-6.914370105434886,-1.3474206771064758,0.02486211303416818,0.0,0.0,0.0,0.0,0.0
26,0.2700000000000001,zero,0.247338863438848,-0.20159668193669122,-0.10053222731223041,0.24902533275643576,-0.20019428888437119,-0.10028393050764572,0.0022073822359363585,0.00229202114467592,-1.570803106772076,-1.5708031096624386,-5.264885037714606e-06,-0.0014691092725258592,0.00027231822924684223,0,0,0,0,0.15036026457583007,-6.909052838229085,-1.3298878819430706,0.015647772101373317,0.0,0.0,0.0,0.0,0.0
27,0.2800000000000001,zero,0.247051314634752,-0.20176921121914881,-0.1005897370730496,0.24882397326923922,-0.2002931622728703,-0.10029777135557602,0.002325141523953298,0.0030215089128921295,-1.570803106772076,-1.570803107339068,-5.264885037714606e-06,-0.001900159136314583,0.0002596658045590796,0,0,0,0,0.1261954784023041,-6.920865695341258,-1.3276452394328577,0.011078742695413962,0.0,0.0,0.0,0.0,0.0
28,0.2900000000000001,zero,0.246745244635136,-0.2019528532189184,-0.10065095107297281,0.2485880966114955,-0.20038886259605385,-0.10031986376736143,0.002439628840442203,0.0030343238584392093,-1.570803106772076,-1.5708031053167226,-5.264885037714606e-06,-0.002389259083786399,0.00024825674266584633,0,0,0,0,0.16550081321776658,-6.9316007322514475,-1.3389434236773001,0.016738332226133232,0.0,0.0,0.0,0.0,0.0
29,0.3000000000000001,zero,0.24642027519999998,-0.20214783488000002,-0.10071594496000001,0.24830547334422587,-0.2004799227277704,-0.10034735213632254,0.0025439661279613125,0.0033385716761130634,-1.570803106772076,-1.5708031034262147,-5.264885037714606e-06,-0.0030043255541225555,0.0002365239818190441,0,0,0,0,0.16609892368712834,-6.930112393049028,-1.349585795532688,0.026205660299974967,0.0,0.0,0.0,0.0,0.0
30,0.3100000000000001,zero,0.246076045784064,-0.20235437252956162,-0.1007847908431872,0.2479855340195654,-0.20057554962706653,-0.10037874129873481,0.002641066540719743,0.0032790650376490057,-1.570803106772076,-1.570803101741178,-5.264885037714606e-06,-0.003650608182577564,0.00022979272855810538,0,0,0,0,0.17665130337446003,-6.888447630169683,-1.3258614051970705,0.020411808369834417,0.0,0.0,0.0,0.0,0.0
31,0.3200000000000001,zero,0.245712213352448,-0.2025726719885312,-0.1008575573295104,0.24762159229159825,-0.2006788794212118,-0.10041796697243063,0.0027249620003483204,0.003305306221603667,-1.570803106772076,-1.5708031000804585,-5.264885037714606e-06,-0.004368989489178965,0.00022451176634832575,0,0,0,0,0.1701469621175383,-6.8881378105104005,-1.3288587734593897,0.024542266729446854,0.0,0.0,0.0,0.0,0.0
