seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac,rms_ee_error_velocity_zero,rms_ee_error_velocity_sac,delta_rms_ee_error_velocity,rms_ee_error_highfreq_zero,rms_ee_error_highfreq_sac,delta_rms_ee_error_highfreq,p2p_error_norm_zero,p2p_error_norm_sac,delta_p2p_error_norm,rms_residual_force_rate_zero,rms_residual_force_rate_sac,delta_rms_residual_force_rate,rms_tau_total_rate_zero,rms_tau_total_rate_sac,delta_rms_tau_total_rate,smooth_tracking_score_zero,smooth_tracking_score_sac,delta_smooth_tracking_score
10010,0.014527804789084137,0.016244761391889594,0.001716956602805457,0.013381310175983801,0.026657281937947537,0.013275971761963736,0.03129751450702856,0.034395252810988264,0.0030977383039597003,-44884.18312052544,-44632.41116808914,251.77195243630558,0.724,0.732,0.008000000000000007,0.0,0.0,0.0,0,0,0.25605946185758566,0.17775964641417558,0.05236716106426162,0.8851423325021051,0.8860931342799565,0.000950801777851451,0.010697679418278283,0.01080704522452196,0.00010936580624367614,0.03087066577690538,0.03396845489775818,0.0030977891208528036,0.0,25.250680156097147,25.250680156097147,3281.1662906004535,3265.7161184190545,-15.450172181399012,3.3468558206910006,3.3398103183984063,-0.0070455022925943744
10011,0.013742654415321572,0.013955087225141638,0.00021243280982006542,0.006765687498632904,0.018138106003332644,0.011372418504699739,0.03338368895112078,0.033307666394304505,-7.602255681627562e-05,-101456.75675096549,-100985.25843971595,471.49831124953926,0.828,0.814,-0.014000000000000012,0.0,0.0,0.0,0,0,0.30764218485871514,0.22972623240624476,0.07940877958829207,1.0114719426076093,1.0069843355189507,-0.004487607088658585,0.011310761820321865,0.011156979096757266,-0.00015378272356459874,0.0329993952317308,0.0329511117311675,-4.828350056330227e-05,0.0,27.721439401615154,27.721439401615154,3830.6048226991875,3829.015678403735,-1.58914429545257,3.8985301332306124,3.9026121749884255,0.004082041757813126
10012,0.014370471429070834,0.014618792198152963,0.00024832076908212937,0.00875862753608578,0.009907964653021925,0.001149337116936145,0.02621346683252933,0.026398379718867018,0.00018491288633768616,-25809.521199682727,-25873.377982095815,-63.856782413087785,0.73,0.732,0.0020000000000000018,0.0,0.0,0.0,0,0,0.3104894172573818,0.2396847453459829,0.06211546138303154,0.5775150252486594,0.5782560063792471,0.0007409811305877367,0.006132685698585622,0.006143716311581264,1.103061299564164e-05,0.025773958030884083,0.02595892174861437,0.0001849637177302882,0.0,27.79842290387492,27.79842290387492,3666.9001475683813,3665.199009358346,-1.701138210035424,3.7146483377419,3.713807458528204,-0.000840879213696244
10013,0.014749359770561434,0.015367863414378033,0.0006185036438165984,0.017677849621086046,0.030238094647589628,0.012560245026503582,0.030499491789793692,0.031983229028671616,0.0014837372388779232,-21673.88597974647,-21440.00533197634,233.88064777012914,0.716,0.698,-0.018000000000000016,0.0,0.0,0.0,0,0,0.29451536160206265,0.22937919866855322,0.05876462383384813,0.5327758631796173,0.5295282399125437,-0.0032476232670736183,0.006595360436727205,0.006692247590622825,9.68871538956197e-05,0.030052942817408734,0.031536721206569536,0.0014837783891608024,0.0,25.04318855260765,25.04318855260765,3592.623178701617,3582.3384444544877,-10.284734247129109,3.6429821636504367,3.6394356121401006,-0.0035465515103361156
10014,0.0206216359912572,0.020408731519829908,-0.0002129044714272929,0.02303258643836986,0.018145474080128496,-0.004887112358241363,0.039410707214411506,0.03859795763865918,-0.0008127495757523223,-107280.31515503302,-106726.02155793644,554.2935970965773,0.82,0.81,-0.009999999999999898,0.0,0.0,0.0,0,0,0.30777891445614375,0.2235558806424512,0.07762610139333347,1.3090168566433782,1.3069457001805165,-0.002071156462861712,0.01448039088041653,0.014493554225378756,1.3163344962225515e-05,0.038948890983798765,0.03813616759464793,-0.0008127233891508379,0.0,27.78888391765132,27.78888391765132,3446.6658012954663,3431.053796545498,-15.612004749968492,3.5445441811556857,3.5261724211989254,-0.018371759956760325
10015,0.03127769323634025,0.03268716344683752,0.0014094702104972684,0.0016041257380966197,0.0017510351483069888,0.00014690941021036912,0.05894954417400682,0.06206739830407499,0.003117854130068168,-33410.59381867573,-32497.09759667702,913.4962219987065,0.8016701461377871,0.8076923076923077,0.006022161554520622,0.0709812108559499,0.0641025641025641,-0.0068786467533858,0,0,0.39135431428354195,0.28750185896263364,0.0904740057449696,0.9090977541431644,0.9071535951618845,-0.0019441589812798643,0.0165700287493345,0.01651756771329247,-5.2461036042030645e-05,0.058508182175223335,0.06162607580898152,0.0031178936337581883,0.0,31.100178306677556,31.100178306677556,3055.18095722918,3048.5145882569695,-6.666368972210421,3.1330470016167133,3.1277653003903207,-0.005281701226392599
10016,0.019561494342521912,0.02067509661754856,0.001113602275026649,0.031087179539995992,0.03376197905521929,0.0026747995152233,0.05403293107525507,0.05282304535884832,-0.0012098857164067542,-36439.93553517852,-36070.254142503254,369.68139267526567,0.854,0.82,-0.03400000000000003,0.03,0.03,0.0,0,0,0.2657680475452674,0.17293224764642817,0.05081981124966124,0.874510882314152,0.8732473095479003,-0.0012635727662516638,0.014033591012177925,0.014089333027998825,5.5742015820899396e-05,0.05365217152901314,0.05244079034325103,-0.0012113811857621046,0.0,27.732765474700624,27.732765474700624,3425.8828941993274,3374.3040054515955,-51.57888874773198,3.5049941942477987,3.455804243734709,-0.04918995051308972
10017,0.03298001593925537,0.03312738838996258,0.00014737245070720745,0.033187516778270025,0.032590011755359326,-0.0005975050229106993,0.05704676438266595,0.0576763294295422,0.0006295650468762515,-45049.586304554716,-45126.30981689319,-76.72351233847439,0.874,0.874,0.0,0.022,0.022,0.0,0,0,0.34903561620569473,0.2615285044063108,0.08808017719987891,0.9639682574253207,0.9649070290799046,0.000938771654583892,0.013629849095100543,0.013649041842011864,1.919274691132046e-05,0.056602212852121525,0.057231821078247785,0.0006296082261262603,0.0,29.921165009718305,29.921165009718305,3341.3535224657207,3339.3965735791303,-1.9569488865904532,3.4393983066472793,3.437337300137608,-0.002061006509671337
10018,0.029627831661135993,0.029451004482194523,-0.0001768271789414702,0.04525935679234774,0.04866304126001067,0.0034036844676629333,0.048010730699337964,0.04866304126001067,0.0006523105606727059,-137003.64591922518,-137025.48182918085,-21.835909955669194,0.696,0.704,0.008000000000000007,0.0,0.0,0.0,0,0,0.41655610278402544,0.3196435068285129,0.10497083547359258,1.770342666375805,1.7714829682463626,0.0011403018705575807,0.026402717873289395,0.026425207885019914,2.2490011730519344e-05,0.047576285456816615,0.04822865306752132,0.000652367610704703,0.0,28.37048961611165,28.37048961611165,2468.5557432185888,2468.528985408885,-0.02675780970366759,2.609858440952155,2.6114141630911036,0.001555722138948834
10019,0.013834532131905658,0.01375196478555769,-8.256734634796807e-05,0.010540847590981478,0.01183425918584052,0.0012934115948590418,0.02896467561089248,0.030222657815893218,0.0012579822050007364,-61636.07801730279,-61546.77483717166,89.30318013112992,0.706,0.708,0.0020000000000000018,0.0,0.0,0.0,0,0,0.30918765527614717,0.248008780237464,0.07827834142214032,0.9344016287600988,0.9336613687850603,-0.0007402599750384597,0.010200139987099836,0.010186713863323881,-1.3426123775955173e-05,0.02850133665651588,0.029759350739372234,0.0012580140828563555,0.0,23.984702850240648,23.984702850240648,3309.7244447184853,3306.9830594610116,-2.7413852574736666,3.375753484883629,3.3735389565560094,-0.0022145283276193695
