seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac
10017,0.03298001593925537,0.028838604083462803,-0.004141411855792566,0.033187516778270025,0.027761002132774135,-0.00542651464549589,0.05704676438266595,0.05092925594583243,-0.0061175084368335145,-520.5488537212368,-421.2368721277453,99.31198159349151,0.874,0.888,0.014000000000000012,0.022,0.014,-0.007999999999999998,0,0,1.297203969201553,2.594407938403106,0.8686291123192302
10018,0.029627831661135993,0.028983702589727628,-0.0006441290714083656,0.04525935679234774,0.039765994469112886,-0.00549336232323485,0.048010730699337964,0.05063734902007995,0.0026266183207419858,-332.2554964211304,-333.3105315743014,-1.0550351531710476,0.696,0.672,-0.02399999999999991,0.0,0.0,0.0,0,0,1.2133219177351298,2.4266438354702595,0.8186457392490037
10019,0.013834532131905658,0.014672270624963873,0.0008377384930582151,0.010540847590981478,0.030253082154843437,0.01971223456386196,0.02896467561089248,0.03207313859432588,0.0031084629834334,-120.22265004250221,-141.35044539440423,-21.127795351902023,0.706,0.708,0.0020000000000000018,0.0,0.0,0.0,0,0,1.199469708966851,2.398939417933702,0.7523095124903874
10020,0.01373719866329131,0.013054419024334294,-0.0006827796389570154,0.008268337971076692,0.018699630154235782,0.01043129218315909,0.03473941763199493,0.03515897716230223,0.000419559530307298,-122.05087167955935,-131.98985869903117,-9.938987019471824,0.7,0.722,0.02200000000000002,0.0,0.0,0.0,0,0,1.2234892415319631,2.4469784830639263,0.7679254763501037
10021,0.0147028651801141,0.01504926839832394,0.00034640321820984116,0.024080748714320983,0.0041172139239976915,-0.01996353479032329,0.03280702572005752,0.03342492579086427,0.0006179000708067539,-119.33866010722704,-137.3226932613179,-17.984033154090866,0.688,0.686,-0.0019999999999998908,0.0,0.0,0.0,0,0,1.220212267729912,2.440424535459824,0.7810065342351205
10022,0.018863466875842005,0.0195154677287559,0.0006520008529138956,0.011251666396128042,0.01987103845612511,0.008619372059997068,0.03425166361600807,0.03582250264133158,0.0015708390253235047,-186.31504484871402,-207.85060749482363,-21.53556264610961,0.74,0.744,0.0040000000000000036,0.0,0.0,0.0,0,0,1.2023600861060781,2.4047201722121563,0.7772153426800998
10023,0.03186530361096665,0.027671486398803406,-0.004193817212163244,0.0384344559468428,0.0378133860163187,-0.0006210699305240971,0.05481488908789267,0.04889292789104661,-0.005921961196846064,-614.6583405809943,-547.0791718675755,67.57916871341877,0.804,0.796,-0.008000000000000007,0.042,0.04,-0.0020000000000000018,0,0,1.309709273366788,2.619418546733576,0.9145732748603801
10024,0.02834329644527165,0.02536975020369307,-0.0029735462415785806,0.012405843754163383,0.011217402529181162,-0.0011884412249822205,0.06168007931842301,0.06209438773856256,0.00041430842013955027,-783.8188255808782,-526.9215105250478,256.8973150558304,0.7931726907630522,0.7865168539325843,-0.006655836830467887,0.08032128514056225,0.04719101123595506,-0.03313027390460719,0,0,1.302511771979974,2.605023543959948,0.9469198827435709
10025,0.021778099958907587,0.01902166279071471,-0.0027564371681928768,0.027684186377449477,0.0063062390248302905,-0.021377947352619185,0.043376253427240156,0.04186324816176033,-0.0015130052654798234,-331.8148545557633,-333.6132640596479,-1.7984095038846135,0.762,0.766,0.0040000000000000036,0.018,0.022,0.004,0,0,1.250353706195598,2.500707412391196,0.9148924355899082
10026,0.021489995167964283,0.01881849595073776,-0.0026714992172265223,0.017604597283390134,0.016230229790586092,-0.001374367492804042,0.03955878030886811,0.04022369959321326,0.0006649192843451446,-222.19855025713332,-200.94785104319453,21.250699213938788,0.912,0.866,-0.04600000000000004,0.0,0.0,0.0,0,0,1.224825598876644,2.449651197753288,0.8481613803539624
10027,0.029803738284486816,0.025140564135319305,-0.004663174149167511,0.021590620490339916,0.0286978331192052,0.007107212628865284,0.056676193901558855,0.048470744938006016,-0.008205448963552839,-660.1468360372819,-580.8961703367531,79.25066570052877,0.784,0.782,-0.0020000000000000018,0.056,0.052,-0.0040000000000000036,0,0,1.327178292919229,2.654356585838458,0.9529857197622758
10028,0.012845278626499724,0.012031025858272957,-0.0008142527682267666,0.008483096593225584,0.019185988965810342,0.010702892372584758,0.029087519011998908,0.0298936520221436,0.0008061330101446912,-100.93899051914923,-110.25673151342198,-9.317740994272754,0.668,0.684,0.016000000000000014,0.0,0.0,0.0,0,0,1.2230490916779213,2.4460981833558426,0.7904100508598969
10029,0.02619728832256499,0.021903691584293394,-0.004293596738271597,0.03067236522728189,0.02812200564692584,-0.00255035958035605,0.05061929468102349,0.04961801875982148,-0.0010012759212020064,-588.9878928647377,-503.0731843644753,85.91470850026235,0.78,0.78,0.0,0.054,0.046,-0.008,0,0,1.301498624403898,2.602997248807796,0.9269618147232098
