t,des_x,des_y,des_z,act_x,act_y,act_z,q_jnt_des_1,q_jnt_des_2,q_jnt_des_3,q_jnt_des_4,q_jnt_act_1,q_jnt_act_2,q_jnt_act_3,q_jnt_act_4,qdot_jnt_des_1,qdot_jnt_des_2,qdot_jnt_des_3,qdot_jnt_des_4,qdot_jnt_act_1,qdot_jnt_act_2,qdot_jnt_act_3,qdot_jnt_act_4,tau_bias_1,tau_bias_2,tau_bias_3,tau_bias_4,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_total_1,tau_total_2,tau_total_3,tau_total_4,joint_margin_min,act_margin_min,q_act_equiv_1,q_act_equiv_2,q_act_equiv_3,q_act_equiv_4,pos_err_norm
0.262,0.11376726805606396,-0.28173963916636163,-0.1272465463887872,0.2464028488607741,-0.17515212765665125,-0.12814760194825803,1.1869357023578075,1.3684806014904491,1.393009486472076,-0.41815304010866183,0.617967432768659,1.3712916521648792,1.3939335441016538,-0.4191646312619482,3.5378878397934743,0.8174484318763664,-0.8458331518764739,0.6712318185585209,0.5072313901160417,0.8585751309649494,-0.8422623401241353,0.6332819224130527,0.010269569414823921,-6.822145003541863,-1.0974858021692313,0.0031642614586060436,198.24759805990251,-0.6341758693597326,-0.9783852098385593,0.27752170906119966,10.0,-7.456320872901595,-2.0758710120077906,0.2806859705198057,0.17696645589834614,0.5895548529944872,1.1587613590261747,9.141944347765863,4.646445147005513,-1.3972154375398274,0.17015847556427122
0.264,0.11190241418444807,-0.28285855148933114,-0.12761951716311037,0.24665399267384705,-0.17533103311867906,-0.12854546701011121,1.193998143191377,1.3701192825840929,1.391300054232268,-0.41679966155016823,0.6179684780354519,1.3730067483016146,1.3922339696179165,-0.4178489261852279,3.5239599597681193,0.8211501416021671,-0.8634493355100803,0.6820256051795065,0.000522633396462524,0.8575480683676707,-0.8497872418687189,0.6578525383601499,0.03719869385180588,-6.80672597733196,-1.0725171690067,-0.0006168271548410154,196.94304168403207,-0.6511107891381691,-0.9595429239033093,0.24227412530141446,10.0,-7.4578367664701295,-2.032060092910009,0.24165729814657344,0.1786660303820835,0.5952201012736111,1.1587633190239113,9.153378322010765,4.640779898726389,-1.3928297539507597,0.1723978320497527
0.266,0.11004090966835198,-0.2839754541989888,-0.12799181806632962,0.24705464156275064,-0.1753184949506752,-0.12894117297661953,1.20103154219688,1.3717652020568578,1.3895556891300356,-0.4154249376879438,0.6171685125072719,1.3747253223941447,1.3904961975621373,-0.4165451291161242,3.50885547493468,0.8246856620751086,-0.880756892622625,0.6925717470359638,-0.3999827640899993,0.8592870462650222,-0.8688860278895802,0.6518985345518629,0.0016816201929645003,-6.830021041011359,-1.100800196086681,0.004910048142805934,202.98558198073417,-0.6353631237675392,-1.0512413523955129,0.18735660464893744,10.0,-7.465384164778898,-2.1520415484821935,0.19226665279174338,0.1804038024378627,0.6010126747928757,1.157263289906754,9.164835482627632,4.634987325207124,-1.388483763720414,0.1748713778623178
0.268,0.10818322930073598,-0.2850900624195584,-0.1283633541398528,0.24730003928721483,-0.1755583867018278,-0.1293351433591541,1.2080335650911158,1.3734180252323933,1.3877770266617775,-0.4140293745620244,0.6173453250847519,1.3764530485303588,1.3887020130722019,-0.41523456743159504,3.492593880016548,0.8280526499292451,-0.8977377947001486,0.7028594192991511,0.08840628874002748,0.8638630681070927,-0.8970922449676602,0.6552808422645798,-0.028553914295187256,-6.820490244101697,-1.0845040916954407,0.00267748800725931,208.40012892800556,-0.6420643192116291,-1.0465654045924806,0.2541586300711489,10.0,-7.462554563313326,-2.131069496287921,0.2568361180784082,0.1821979869277981,0.6069932897593269,1.157594834211048,9.17635365686906,4.629006710240673,-1.3841152247719835,0.17706388446161153
0.27,0.10632984639999996,-0.28620209216000003,-0.12873403072,0.2477085030576568,-0.17559982970101207,-0.12972777753849052,1.2150019177169462,1.3750774126565748,1.385964737951235,-0.4126135000107472,0.6166779172082703,1.3781780099732965,1.3868975460255946,-0.4138472372933695,3.4751957608767925,0.8312486346894743,-0.9143743447694863,0.7128778607117525,-0.3337039382408591,0.8624807214688849,-0.9022335233036305,0.6936650691127816,0.008788527942041373,-6.835242541612698,-1.101109002997843,0.006175760447059808,206.3912935667524,-0.6736062294761398,-0.9594393347046752,0.2828094222056474,10.0,-7.508848771088838,-2.060548337702518,0.28898518265270723,0.1840024539744054,0.6130081799146847,1.156343366225896,9.187853399821977,4.622991820085315,-1.3794907909778984,0.1795042410421262
0.272,0.10448123262566394,-0.28731126042460164,-0.12910375347486722,0.24796167102406994,-0.17588235766506413,-0.13011746243139405,1.221934348134623,1.3767430197711512,1.3841195292826995,-0.41117786311917737,0.6169544867516947,1.379913572487416,1.3850222915180488,-0.41251933398273605,3.4566827438194947,0.8342709932567804,-0.9306491100725678,0.7226165555802022,0.13828477171221581,0.8677812570598167,-0.9376272537728713,0.6639516553167,-0.025981915958335825,-6.83161005342924,-1.0917196083177778,0.005137896455573943,211.90002273438864,-0.6561748863404331,-1.0607297170200036,0.16919342935352466,10.0,-7.487784939769673,-2.1524493253377814,0.1743313258090986,0.18587770848195118,0.61925902827317,1.1568619665323359,9.199423816582774,4.61674097172683,-1.3750644466091202,0.18167020718610355
0.274,0.10263785779404802,-0.2884172853235712,-0.1294724284411904,0.2481027280885566,-0.17636513794144387,-0.13050575851767574,1.2288286486922242,1.378414496629602,1.3822421415109447,-0.4097230337884264,0.6179800208447312,1.3816494606260703,1.3831242265840007,-0.4111003460697999,3.437077430993196,0.837116952405681,-0.9465449750215571,0.7320651730979982,0.5127670465182717,0.8679440693270633,-0.9490324670239925,0.7094939564680829,0.01386329276601107,-6.841421154132018,-1.101964189120166,0.007554952589769792,209.9525898564067,-0.6950371945773366,-0.9053867721207096,0.3283800750113861,10.0,-7.536458348709354,-2.0073509612408755,0.3359350276011559,0.18777577341599927,0.625585911386664,1.1587849631440676,9.210996404173802,4.610414088613336,-1.370334486899333,0.18362129504442332
0.276,0.10080018969395196,-0.2895198861836288,-0.1298399620612096,0.24843064824191774,-0.1766019496308402,-0.13089126713174787,1.2356826578585958,1.380091487580774,1.3803333493826133,-0.4082496024267854,0.617989946878932,1.3833825368270651,1.3812052423372922,-0.409673598676568,3.416403331554463,0.8397835867168246,-0.9620451441129663,0.7412136141219661,0.004963017100390821,0.866538100497449,-0.9594921233542552,0.7133736966159548,0.048730032296628714,-6.827286411351979,-1.0778544487027772,0.003939749571456819,208.5398813844489,-0.6926757744708194,-0.9413645771280033,0.18389350347582312,10.0,-7.5199621858227985,-2.0192190258307807,0.18783325304727994,0.18751746317293483,0.6319825255423588,1.1588035756214738,9.222550245513768,4.604017474457641,-1.3655786622552266,0.1858663980626234
0.278,0.09896869390233604,-0.2906187836585984,-0.1302062612195328,0.2489102360723663,-0.17664600823223092,-0.13127430746224486,1.242494262018442,1.3817736309764692,1.3783939609344928,-0.40675817933193853,0.6171972225747576,1.3851152625184444,1.3792599594082484,-0.40823450977103254,3.3946848108249994,0.8422678055775012,-0.9771331272309669,0.750052063422213,-0.39636215208722947,0.866362845689651,-0.9726414645219568,0.719544452767732,0.0021526336867717724,-6.852057560816351,-1.107546201302282,0.009769028516837475,214.46906889164987,-0.6768341145383578,-0.9845124518535151,0.20502185411762186,10.0,-7.528891675354709,-2.092058653155797,0.21479088263445933,0.18578473748155555,0.6384668019725046,1.157317124647961,9.234101750122964,4.597533198027495,-1.3607816992367752,0.18834383539020524
0.28,0.09714383360000003,-0.29171369983999995,-0.13057123327999998,0.24923081348176496,-0.1769420354131143,-0.1316546471167436,1.2492613971018958,1.383460558803084,1.3764248168736894,-0.4052493941730965,0.6173800503013664,1.3868553831226567,1.3772579913575371,-0.4068109658812111,3.371947008532439,0.8445663682038473,-0.9917928121248587,0.7585709177568151,0.09141386330442647,0.8700603021061287,-1.0009840253556646,0.7117719449107373,-0.036604349800815464,-6.843899026833819,-1.0925991695132706,0.007801836786391458,219.7657256430988,-0.6707829344945715,-1.003753541190905,0.21580817191505242,10.0,-7.514681961328391,-2.096352710704176,0.22361000870144387,0.1840446168773433,0.6451400288082088,1.157659948061816,9.245702554151045,4.590859971191791,-1.3560365529373704,0.19053650093988728
