t,pos_err_norm,sv1,sv2,sv3,lambda,xdot_cmd_x,xdot_cmd_y,xdot_cmd_z,qdot_cmd_1,qdot_cmd_2,qdot_cmd_3,qdot_cmd_4,tau_1,tau_2,tau_3,tau_4,joint_margin_min,act_margin_min
0.6880000000000001,0.3268844505954497,0.5820630148128726,0.26774881210975926,0.18645092456674406,0.08,-1.6886508366902067,0.0345735327584788,0.09527184435690833,3.251894992038884,-0.3689115165823265,2.8601952015212695,-1.874619678171314,10.0,-1.1261184306965837,10.0,-3.1706798869416795,0.050860589336825246,0.16920196445608404
0.6900000000000001,0.32769655149703236,0.5817726272113299,0.26773677184519185,0.18652292854312286,0.08,-1.7003594169886003,0.04183899305012756,0.09647947091573311,3.2561746048129696,-0.37375589983958335,2.888249243475051,-1.894462699811527,10.0,-0.6855451314765322,10.0,-6.28044141470927,0.05039392590632241,0.16764641968774097
0.6920000000000001,0.32854294916720295,0.5815386584689707,0.26785304633145957,0.18658480945979558,0.08,-1.7118741503409245,0.04972516311221642,0.09760226929529373,3.260724893142147,-0.3799164754632826,2.91602372151974,-1.914347819756668,10.0,-0.5584996359180354,10.0,-6.632823754706334,0.050044824133492316,0.16648274711164035
0.6940000000000001,0.3297431241840772,0.5808503276290461,0.2674567342203738,0.18680763743807993,0.08,-1.7224448816330922,0.05595993097257024,0.09837864555602446,3.2683410687058965,-0.3766104912448604,2.936804577872107,-1.9315405248643,10.0,-0.43911954064714775,10.0,-0.2847776801352795,0.04888962453700074,0.16263208179000177
0.6960000000000001,0.330785217580485,0.5805419304244912,0.2674055753328105,0.18686629012536712,0.08,-1.7340657096943328,0.06217193320989334,0.09940224317704044,3.27061182551389,-0.380874838178421,0.0,-1.951018700241247,10.0,0.23741344547196208,-4.528670315761364,-7.2873551065923,0.04951716765330727,0.16472389217769035
0.6980000000000001,0.3321473599790371,0.5801877928217676,0.2674796998627099,0.18701309753606446,0.08,-1.745369943385625,0.0691388165997231,0.10039218313309645,3.2736922290086063,-0.3842574174138735,0.0,-1.9719762370723821,10.0,-2.0755657513127352,2.5638991675855998,-2.903840063240329,0.05045191055595377,0.16783970185317898
0.7000000000000001,0.3333398956642147,0.5799926143638849,0.26778093365053757,0.1871179003176315,0.08,-1.7574487167018633,0.07584378300883576,0.10143054503908966,3.272461340628637,-0.39104749049859333,3.021864854748528,-1.9956881309043086,10.0,-2.454688411993394,10.0,-4.504710035494727,0.05122134228739861,0.17040447429132843
0.7020000000000001,0.3341749877968052,0.5798498065901441,0.2681528537485144,0.1871979811990386,0.08,-1.7690853752749722,0.08318357281029787,0.10239943717516922,3.2726179101894974,-0.39902148023038436,3.0513536474206515,-2.0183979991571763,10.0,-2.008480051978855,10.0,-5.674780937852979,0.051929422263461866,0.1727647408782058
0.704,0.3352293140060649,0.5793282561067699,0.26809018350224334,0.18740432970454984,0.08,-1.7791293984255736,0.09015227497360978,0.10305523194883603,3.278971729724611,-0.3988074001190184,3.0719038382750923,-2.0366280360064852,10.0,-1.655468752705394,10.0,-0.8152730756894759,0.05178335112392762,0.17227783707975863
0.706,0.3363644914061765,0.5788432490524491,0.2679588856584888,0.1875628400745519,0.08,-1.7892949991442553,0.09622540620143083,0.10374592739598593,3.2835881965745406,-0.3989663887180528,3.0938876795635397,-2.05426675728724,10.0,-0.8661120831195452,10.0,-3.2293167810217738,0.051198511053015316,0.17032837017671731
