t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,joint_margin_1,joint_margin_2,joint_margin_3,joint_margin_4,act_margin_1,act_margin_2,act_margin_3,act_margin_4,joint_margin_min,act_margin_min,active_limit_joint,active_limit_actuator,success
1.0,xyz_pitch,-0.25,-0.2,-0.1,-0.249999363796039,-0.1999998007858774,-0.09999987783849809,6.979984101907608e-07,2.466851606894873,1.2749257403936387,1.4163435325816336,-0.4503186244782299,4.6256358651694605,8.499504935957592,4.7211451086054455,-1.5010620815940998,0.6747483931051268,0.29597425960636126,0.15455646741836637,1.1205813755217702,1.2652641348305398,1.9724950640424073,0.5148548913945543,3.7349379184059,0.15455646741836637,0.5148548913945543,jnt3,q3_act,True
0.0,xyz_roll_pitch,0.25,-0.2,-0.1,0.2500018898137445,-0.2000013099297351,-0.10000051815019775,7.2045388963977665e-06,0.6747446842757915,1.2749341285043383,1.416323108787094,-0.4503314344465235,1.2652253596020842,8.49956085669559,4.7210770292903135,-1.5011047814884118,2.4668553157242084,0.29596587149566167,0.15457689121290596,1.1205685655534765,4.625674640397916,1.9724391433044097,0.5149229707096863,3.7348952185115882,0.15457689121290596,0.5149229707096863,jnt3,q3_act,True
0.01,xyz_roll_pitch,0.2499805952,-0.20001164288,-0.10000388096,0.24998117949587897,-0.200011818309106,-0.10000398800159052,6.81083315366956e-06,0.6748107266499082,1.274929313838907,1.4163731558639294,-0.45028574657162107,1.2653491967933774,8.499528758926047,4.721243852879765,-1.5009524885720702,2.466789273350092,0.2959706861610929,0.15452684413607054,1.120614253428379,4.625550803206623,1.9724712410739524,0.5147561471202344,3.7350475114279296,0.15452684413607054,0.5147561471202344,jnt3,q3_act,True
0.02,xyz_roll_pitch,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.24985254954726113,-0.2000908632015033,-0.10003043943472273,7.522288186407869e-06,0.6752545974664678,1.2749366046302049,1.4166140903782396,-0.45003813452687824,1.2661815065937891,8.499577364201366,4.722046967927466,-1.5001271150895943,2.4663454025335323,0.2959633953697951,0.15428590962176036,1.1208618654731217,4.6247184934062116,1.9724226357986332,0.5139530320725338,3.7358728849104055,0.15428590962176036,0.5139530320725338,jnt3,q3_act,True
0.03,xyz_roll_pitch,0.2495074336,-0.20029553984,-0.10009851328000001,0.2495155799922195,-0.20029696067387753,-0.10009938963534737,1.0917281227499439e-05,0.6764156918507863,1.2749539165479982,1.4172481470214056,-0.4493880099221901,1.2683586946386394,8.499692776986654,4.724160490071352,-1.497960033073967,2.4651843081492135,0.2959460834520018,0.1536518529785944,1.1215119900778099,4.622541305361361,1.9723072230133454,0.5118395099286479,3.7380399669260327,0.1536518529785944,0.5118395099286479,jnt3,q3_act,True
0.04,xyz_roll_pitch,0.2488686848,-0.20067878912,-0.10022626304,0.24888394983286738,-0.20068148642428743,-0.10022792015998933,1.7415396341118964e-05,0.6785903480005789,1.2749845729034244,1.4184376287217328,-0.4481696246472391,1.2724364297779467,8.499897152689496,4.728125429072443,-1.4938987488241304,2.463009651999421,0.2959154270965756,0.15246237127826712,1.1227303753527609,4.618463570222054,1.972102847310504,0.507874570927557,3.7421012511758693,0.15246237127826712,0.507874570927557,jnt3,q3_act,True
0.05,xyz_roll_pitch,0.24786,-0.20128400000000002,-0.100428,0.2478840525598651,-0.20128824509304186,-0.10043059420733219,2.6165494249100686e-05,0.6820351141970117,1.2750363472543553,1.4203085405190032,-0.44624909011358993,1.2788957701050285,8.500242315029036,4.734361801730011,-1.4874969670452998,2.459564885802988,0.29586365274564463,0.15059145948099673,1.1246509098864101,4.612004229894971,1.9717576849709637,0.5016381982699887,3.7485030329546998,0.15059145948099673,0.5016381982699887,jnt3,q3_act,True
0.06,xyz_roll_pitch,0.2464202752,-0.20214783488000002,-0.10071594496000001,0.24645434521666842,-0.20215375321585013,-0.10071953443985499,3.6404262409310887e-05,0.6869703733593691,1.2751232410469084,1.4229469796973466,-0.44352618613340683,1.2881499594212809,8.50082160697939,4.743156598991155,-1.4784206204446895,2.4546296266406307,0.2957767589530915,0.14795302030265334,1.1273738138665932,4.602750040578719,1.97117839302061,0.4928434010088445,3.7575793795553105,0.14795302030265334,0.4928434010088445,jnt3,q3_act,True
0.07,xyz_roll_pitch,0.2444999264,-0.20330004416,-0.10110001472,0.24454480195938816,-0.20330760453483956,-0.10110455484691028,4.752870822100931e-05,0.6935837263128536,1.2752674297693551,1.4263950550811162,-0.43993650220402436,1.3005507712598041,8.501782865129035,4.7546501836037205,-1.466455007346748,2.4480162736871462,0.2956325702306448,0.14450494491888377,1.1309634977959755,4.590349228740196,1.970217134870964,0.4813498163962793,3.769544992653252,0.14450494491888377,0.4813498163962793,jnt3,q3_act,True
0.08,xyz_roll_pitch,0.2420603136,-0.20476381184,-0.10158793728000001,0.2421163230916912,-0.20477279562030853,-0.10159326153195367,5.898042644481849e-05,0.7020329004313064,1.2755003836419592,1.4306483661784442,-0.43545283366411186,1.3163939629313828,8.503335890946396,4.768827887261481,-1.4515094455470396,2.4395670995686936,0.2953996163580408,0.1402516338215558,1.135447166335888,4.574506037068618,1.968664109053604,0.46717211273851866,3.78449055445296,0.1402516338215558,0.46717211273851866,jnt3,q3_act,True
0.09,xyz_roll_pitch,0.2390731648,-0.20655610112,-0.10218536704,0.23914019007083837,-0.2065660890275094,-0.10219118262500237,7.024309335237479e-05,0.7124480166232551,1.2758634495551118,1.4356545196525232,-0.43008609076946924,1.3359235263890026,8.505756330367412,4.785515065508411,-1.4336203025648975,2.429151983376745,0.2950365504448882,0.13524548034747674,1.1408139092305307,4.5549764736109974,1.966243669632588,0.45048493449158844,3.8023796974351023,0.13524548034747674,0.45048493449158844,jnt3,q3_act,True
0.1,xyz_roll_pitch,0.23552,-0.208688,-0.102896,0.2355975057801573,-0.20869836404652362,-0.10290188824103672,8.084963562324346e-05,0.7249330891679919,1.276407493047611,1.4413135008991824,-0.42388528920860186,1.359334500596272,8.509383286984074,4.8043783363306085,-1.4129509640286728,2.4166669108320082,0.29449250695238893,0.12958649910081754,1.1470147107913982,4.531565499403728,1.962616713015926,0.43162166366939125,3.823049035971327,0.12958649910081754,0.43162166366939125,jnt3,q3_act,True
0.11,xyz_roll_pitch,0.2313915552,-0.21116506688,-0.10372168896,0.2314786359878206,-0.2111749698457909,-0.10372711200593204,9.040199100707594e-05,0.7395666917664078,1.277191689070565,1.4474797986116836,-0.4169366393131301,1.3867742204507927,8.514611260470433,4.824932662038946,-1.3897887977104337,2.4020333082335923,0.29370831092943495,0.12342020138831633,1.1539633606868698,4.504125779549208,1.9573887395295664,0.4110673379610539,3.846211202289566,0.12342020138831633,0.4110673379610539,jnt3,q3_act,True
0.12,xyz_roll_pitch,0.2266872064,-0.21398767616,-0.10466255872,0.2267826481366273,-0.2139960788409134,-0.10466687210698894,9.85941116566994e-05,0.75640177613328,1.2782815309146003,1.4539662568631582,-0.4093616892737048,1.4183419766234389,8.521876872764002,4.846554189543861,-1.3645389642456827,2.3851982238667198,0.2926184690853997,0.1169337431368418,1.161538310726295,4.472558023376561,1.9501231272359973,0.3894458104561389,3.871461035754317,0.1169337431368418,0.3894458104561389,jnt3,q3_act,True
0.13,xyz_roll_pitch,0.22141439359999998,-0.21715136384,-0.10571712128,0.2215167458688351,-0.21715703989513907,-0.1057195914384203,0.000105235241945139,0.7754646899210811,1.279746212148788,1.4605495127546544,-0.4013145091512729,1.454087174050405,8.531641414325254,4.868498375848848,-1.3377150305042431,2.366135310078919,0.29115378785121204,0.11035048724534557,1.169585490848727,4.436812825949595,1.9403585856747458,0.36750162415115195,3.898284969495757,0.11035048724534557,0.36750162415115195,jnt3,q3_act,True
0.14,xyz_roll_pitch,0.2155880448,-0.22064717312,-0.10688239104000001,0.21569569872703173,-0.22064873106037744,-0.10688221645358531,0.0001102727604635429,0.7967535068534501,1.2816555949743762,1.4669768076904859,-0.3929779141437665,1.4940062007377652,8.544370633162508,4.88992269230162,-1.3099263804792216,2.34484649314655,0.28924440502562376,0.10392319230951408,1.1779220858562334,4.3968937992622354,1.9276293668374915,0.34607730769837985,3.9260736195207784,0.10392319230951408,0.34607730769837985,jnt3,q3_act,True
0.15,xyz_roll_pitch,0.20923000000000003,-0.224462,-0.108154,0.20934126680767612,-0.2244579117302893,-0.10815033465305718,0.00011381417118665486,0.8202358573269006,1.2840770167546736,1.4729739181125234,-0.3845587294816616,1.5380383598854315,8.560513445031157,4.909913060375079,-1.2818624316055387,2.321364142673099,0.2868229832453264,0.09792608188747653,1.1863412705183385,4.352861640114568,1.9114865549688425,0.3260869396249211,3.954137568394461,0.09792608188747653,0.3260869396249211,jnt3,q3_act,True
0.16,xyz_roll_pitch,0.20236843519999997,-0.22857893888000003,-0.10952631296000001,0.2024816208236667,-0.2285675741686666,-0.10951829071691146,0.00011614699034722279,0.8458465270924297,1.2870722009968376,1.478253926820765,-0.376282109638327,1.5860613671337516,8.580481339978919,4.9275130894025505,-1.2542736987944234,2.2957534729075704,0.28382779900316235,0.0926460731792349,1.1946178903616729,4.3048386328662485,1.891518660021081,0.30848691059744926,3.981726301205576,0.0926460731792349,0.30848691059744926,jnt3,q3_act,True
0.17,xyz_roll_pitch,0.1950372864,-0.23297762816,-0.11099254272,0.19515075865438405,-0.23295729379972502,-0.11097930111897808,0.00011775207927845497,0.8734851672884165,1.2906945258655695,1.4825265456350034,-0.36838494809334144,1.6378870566068189,8.604630172437131,4.941755152116678,-1.2279498269778049,2.2681148327115834,0.2802054741344304,0.08837345436499655,1.2025150519066585,4.253012943393181,1.867369827562868,0.2942448478833217,4.008050173022195,0.08837345436499655,0.2942448478833217,jnt3,q3_act,True
0.18,xyz_roll_pitch,0.1872756736,-0.23763459584000002,-0.11254486528,0.18738791940892188,-0.23760357879844882,-0.11252556793075785,0.00011929878235464093,0.9030145258084492,1.2949868684699828,1.485507685459487,-0.3611084634801593,1.6932580645198747,8.633245789799886,4.951692284864957,-1.2036948782671977,2.2385854741915505,0.2759131315300172,0.08539231454051288,1.2097915365198406,4.197641935480125,1.838754210200113,0.2843077151350428,4.0323051217328025,0.08539231454051288,0.2843077151350428,jnt3,q3_act,True
0.19,xyz_roll_pitch,0.1791273248,-0.24252360512,-0.11417453504000001,0.17923699586630468,-0.24248021856917928,-0.11414839198726887,0.0001216014289796923,0.9342596416663335,1.2999801734330407,1.4869289678476143,-0.35469011947503987,1.7518463185192827,8.666534489553605,4.956429892825382,-1.182300398250133,2.2073403583336666,0.27091982656695923,0.08397103215238566,1.2162098805249602,4.139053681480718,1.8054655104463944,0.27957010717461817,4.053699601749867,0.08397103215238566,0.27957010717461817,jnt3,q3_act,True
0.2,xyz_roll_pitch,0.17064,-0.247616,-0.115872,0.17074594666826504,-0.24755863081742183,-0.11583828558954659,0.00012551712169743144,0.9670084278789898,1.3056928061359008,1.486546862164755,-0.3493551339031442,1.813254130656272,8.704618707572672,4.95515620721585,-1.1645171130104808,2.17459157212101,0.2652071938640992,0.0843531378352449,1.2215448660968558,4.077645869343728,1.767381292427327,0.2808437927841494,4.071482886989519,0.0843531378352449,0.2808437927841494,jnt3,q3_act,True
0.21,xyz_roll_pitch,0.16186491520000001,-0.25288105088,-0.11762701696,0.1619662086982307,-0.2528082073729992,-0.11758508546255911,0.00013178789382492555,1.0010139930354423,1.3121306507522132,1.4841511298308132,-0.34530793533720233,1.8770185506008668,8.747537671681423,4.9471704327693775,-1.1510264511240078,2.1405860069645577,0.2587693492477867,0.08674887016918675,1.2255920646627976,4.0138814493991335,1.7244623283185767,0.28882956723062225,4.0849735488759915,0.08674887016918675,0.28882956723062225,jnt3,q3_act,True
0.22,xyz_roll_pitch,0.15285616640000002,-0.25828630016,-0.11942876672,0.15295211046865156,-0.25819665876659853,-0.11937806605407777,0.00014087883861185955,1.0359989024662368,1.319287810025813,1.4795722679665988,-0.342724017844477,1.9426193558339337,8.795252066838753,4.931907559888663,-1.1424133928149234,2.1056010975337633,0.251612189974187,0.09132773203340117,1.228175982155523,3.9482806441660667,1.6767479331612467,0.3040924401113365,4.093586607185077,0.09132773203340117,0.3040924401113365,jnt3,q3_act,True
0.23,xyz_roll_pitch,0.14367015360000002,-0.26379790784,-0.12126596928,0.1437602864088105,-0.2636903578160208,-0.12120605373237645,0.0001528897825113926,1.0716613748654074,1.3271476837432867,1.4726876749584603,-0.34174269430675963,2.0094906710395786,8.847651224955245,4.908958916528201,-1.1391423143558654,2.0699386251345926,0.24375231625671323,0.09821232504153965,1.2291573056932403,3.8814093289604217,1.624348775044755,0.3270410834717987,4.096857685644134,0.09821232504153965,0.3270410834717987,jnt3,q3_act,True
0.24,xyz_roll_pitch,0.13436500480000002,-0.26938099711999997,-0.12312699903999999,0.13444909217906625,-0.2692546825676468,-0.12305754176836989,0.00016757803797769568,1.1076831680329087,1.3356841560974675,1.4634263144984123,-0.34246124166072955,2.0770357547963787,8.904561040649783,4.878087714994708,-1.1415374722024318,2.0339168319670913,0.23521584390253247,0.10747368550158765,1.2284387583392704,3.8138642452036216,1.5674389593502163,0.35791228500529204,4.0944625277975675,0.10747368550158765,0.35791228500529204,jnt3,q3_act,True
0.25,xyz_roll_pitch,0.125,-0.275,-0.125,0.1250780208040876,-0.2748543588656388,-0.12492080616087897,0.00018445655694736542,1.1437386737762252,1.3448626267970774,1.4517717323329467,-0.3449308491221166,2.144644053583771,8.965750845313849,4.839239107776489,-1.149769497073722,1.9978613262237748,0.2260373732029226,0.11912826766705331,1.2259691508778834,3.746255946416229,1.5062491546861505,0.39676089222351063,4.086230502926278,0.11912826766705331,0.39676089222351063,jnt3,q3_act,True
0.26,xyz_roll_pitch,0.11563499519999998,-0.28061900288,-0.12687300096,0.11570711909187933,-0.28045380257396924,-0.12678402180092366,0.0002029030046743863,1.179504562232853,1.3546406723192588,1.4377633765662785,-0.34915463238052125,2.2117092860169754,9.030937815461726,4.792544588554262,-1.1638487746017376,1.962095437767147,0.2162593276807412,0.13313662343372146,1.2217453676194787,3.679190713983025,1.4410621845382732,0.4434554114457381,4.072151225398262,0.13313662343372146,0.4434554114457381,jnt3,q3_act,True
0.27,xyz_roll_pitch,0.10632984639999996,-0.28620209216000003,-0.12873403072,0.10639640503234696,-0.28601746202536005,-0.12863537890326265,0.00022223971676449555,1.2146692257199243,1.3649682207622158,1.4214962617944469,-0.35508779053732753,2.277647151171806,9.099788138414773,4.738320872648156,-1.1836259684577586,1.9269307742800756,0.20593177923778416,0.14940373820555308,1.2158122094626724,3.613252848828194,1.3722118615852263,0.4976791273518435,4.052374031542241,0.14940373820555308,0.4976791273518435,jnt3,q3_act,True
0.28,xyz_roll_pitch,0.09714383360000003,-0.29171369983999995,-0.13057123327999998,0.09720528578919106,-0.29151016028298227,-0.1304631990130647,0.00024177857643487637,1.248941299718798,1.3757872319995919,1.4031191136969117,-0.3626397776892846,2.3419113064293984,9.17191487999728,4.677063712323039,-1.2087992589642822,1.8926587002812019,0.1951127680004081,0.1677808863030883,1.2082602223107153,3.548988693570602,1.30008512000272,0.5589362876769606,4.027200741035718,0.1677808863030883,0.5589362876769606,jnt3,q3_act,True
0.29,xyz_roll_pitch,0.08813508480000004,-0.29711894912,-0.13237298304,0.08819197688035538,-0.296897437273768,-0.13225605038490607,0.00026084087575507087,1.2820566691892668,1.387030986672975,1.3828311856805036,-0.37167819435805155,2.4040065051364463,9.246873244486501,4.609437285601679,-1.2389273145268385,1.8595433308107332,0.18386901332702488,0.1880688143194964,1.1992218056419484,3.486893494863554,1.2251267555134984,0.6265627143983208,3.997072685473161,0.18386901332702488,0.6265627143983208,jnt2,q3_act,True
0.3,xyz_roll_pitch,0.0793600000000001,-0.30238399999999993,-0.13412799999999997,0.0794129230343511,-0.3021458914319239,-0.1340028624228576,0.00027876386142697116,1.313783577710055,1.3986231704720649,1.3608779694239734,-0.38203399054432285,2.463498176842406,9.324154469813767,4.536259898079912,-1.273446635147743,1.827816422289945,0.1722768295279351,0.21002203057602653,1.188866009455677,3.4274018231575942,1.147845530186233,0.6997401019200877,3.9625533648522566,0.1722768295279351,0.6997401019200877,jnt2,q3_act,True
0.31,xyz_roll_pitch,0.07087267519999996,-0.30747639488,-0.13582546496,0.0709222212340974,-0.3072235205081505,-0.13569303881147457,0.0002949020766409344,1.3439256989213035,1.4104769883123511,1.3375460104555192,-0.3935075346637053,2.5200181866141076,9.40317992208234,4.458486701518398,-1.311691782212351,1.7976743010786964,0.16042301168764883,0.23335398954448072,1.1773924653362946,3.3708818133858927,1.0688200779176587,0.777513298481602,3.9243082177876487,0.16042301168764883,0.777513298481602,jnt2,q3_act,True
0.32,xyz_roll_pitch,0.06272432639999978,-0.31236540416000014,-0.13745513472000004,0.06277104608100614,-0.3121000605774409,-0.13731656931713174,0.00030862853777306287,1.3723232593404495,1.4224945549021561,1.3131569978951803,-0.4058751323322448,2.573266940447121,9.483297032681042,4.377189992983935,-1.3529171077741495,1.7692767406595504,0.1484054450978438,0.2577430021048197,1.1650248676677553,3.3176330595528793,0.9887029673189573,0.8588100070160651,3.8830828922258505,0.1484054450978438,0.8588100070160651,jnt2,q3_act,True
0.33,xyz_roll_pitch,0.05496271359999999,-0.31702237184,-0.13900745728,0.055007077969571445,-0.3167473225986433,-0.13886413965697383,0.00031933870199083743,1.3988524816584997,1.4345667885939053,1.288061226430091,-0.4188956697863058,2.623012341381023,9.563778590626036,4.293537421433637,-1.396318899287686,1.7427475183415002,0.13633321140609467,0.28283877356990894,1.1520043302136942,3.267887658618977,0.9082214093739633,0.9424625785663627,3.8396811007123137,0.13633321140609467,0.9082214093739633,jnt2,q2_act,True
