controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
computed_torque,0.0,2.0,20.0,0.33283407860615083,0.5098557855091048,0.5094342075010111,1.0996804549893917,1.841030304636656,20.0,1001,0,True
computed_torque,0.1,2.0,20.0,0.3296084998281186,0.5017668896587683,0.5017668896587683,1.0998007365422549,1.8420500721727415,20.0,1001,0,True
computed_torque,0.3,2.0,20.0,0.32402736064185866,0.48917263631482616,0.48917263631482616,1.1002144089272154,1.8432410235932004,20.0,1001,0,True
pd_bias,0.0,2.0,50.0,0.3330171897653445,0.5126263309219214,0.5123793169846712,1.1011397038830477,1.8412620544975933,50.0,1001,0,True
pd_bias,0.1,2.0,50.0,0.32978312752417926,0.5044908199743439,0.5042528696680619,1.1013279048205042,1.8415789635433808,50.0,1001,0,True
pd_bias,0.3,2.0,50.0,0.32393568769165026,0.48944826844937583,0.48911072406771444,1.1018999302069343,1.842004192221323,50.0,1001,0,True
computed_torque,0.0,2.0,50.0,0.33306712375823305,0.5122063988440044,0.5122063988440044,1.1011379395480603,1.8409178431233173,50.0,1001,0,True
computed_torque,0.1,2.0,50.0,0.3298296125393558,0.5040975950407682,0.5040477614524898,1.1013330105352788,1.841351270818488,50.0,1001,0,True
computed_torque,0.3,2.0,50.0,0.3239765532333218,0.48918295336274314,0.4890014940018815,1.1019120011243042,1.8420328067639509,50.0,1001,0,True
pd_bias,0.0,2.0,100.0,0.34153889963667755,0.528124814557672,0.528000739059261,1.107389012842131,1.8458390615680051,100.0,1001,0,True
pd_bias,0.1,2.0,100.0,0.3379439729376921,0.5196525537715879,0.519488894463038,1.1074902526120403,1.8453160714648111,100.0,1001,0,True
pd_bias,0.3,2.0,100.0,0.3314225157653559,0.5040751300657375,0.503796449604994,1.1079718781297647,1.8452699761552023,100.0,1001,0,True
computed_torque,0.0,2.0,100.0,0.3415861842491302,0.527733998010884,0.527410209601859,1.107417283455877,1.8455389601152197,100.0,1001,0,True
computed_torque,0.1,2.0,100.0,0.3379991571648083,0.5192297777030866,0.5191074126934389,1.1075404723831996,1.8446645663288246,100.0,1001,0,True
computed_torque,0.3,2.0,100.0,0.3314648782047617,0.5035764198528125,0.503424838315712,1.1079659326997555,1.8446839059526328,100.0,1001,0,True
pd_bias,0.0,3.0,20.0,0.3328595406753618,0.5101973270786619,0.5098708668851537,1.0996350478818633,1.8418668345033495,20.0,1501,0,True
pd_bias,0.1,3.0,20.0,0.3294790907554798,0.5016873465735993,0.5015332683472099,1.099759996040973,1.8412008783066247,20.0,1501,0,True
pd_bias,0.3,3.0,20.0,0.32389532682985417,0.4901442819849091,0.4895542166862217,1.100166311594419,1.8430724007163897,20.0,1501,0,True
computed_torque,0.0,3.0,20.0,0.3328740896014098,0.5099512359957691,0.5098329323230364,1.0996361353341784,1.8412041408495265,20.0,1501,0,True
computed_torque,0.1,3.0,20.0,0.3294911496029887,0.5015374889266311,0.5013278267858692,1.0997589822039948,1.8411641210734975,20.0,1501,0,True
computed_torque,0.3,3.0,20.0,0.3239132420332101,0.48983564099814453,0.489458262327561,1.1001650134624401,1.8418426478406271,20.0,1501,0,True
pd_bias,0.0,3.0,50.0,0.33315121058811886,0.5125272180588518,0.5122646236245489,1.1011576371058274,1.8411805253894276,50.0,1501,0,True
