controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
pd_bias,0.1,3.0,100.0,0.3380796766038216,0.5194546638292861,0.5160872299084405,1.1077130471341425,1.8451384039767653,100.0,905,0,True
pd_bias,0.3,3.0,100.0,0.3313152757840031,0.5036044653521002,0.5033927756990222,1.1083471453927332,1.8450691800258632,100.0,943,0,True
computed_torque,0.0,3.0,100.0,0.3418849145178336,0.5278473909475923,0.5243963757972494,1.1078092853989876,1.8454415528454209,100.0,916,0,True
computed_torque,0.1,3.0,100.0,0.33811675466133145,0.5193923898638679,0.5190859549363827,1.1078104417471528,1.8450278691869948,100.0,911,0,True
computed_torque,0.3,3.0,100.0,0.3313243168350933,0.5036856220402586,0.5034105467682497,1.1083392026573418,1.846387616999757,100.0,935,0,True
pd_bias,0.0,5.0,20.0,0.3329641326440392,0.5101948047082371,0.509351748067942,1.099759397016201,1.841880128651177,20.0,2276,0,True
pd_bias,0.1,5.0,20.0,0.3294624543537616,0.5017343065585336,0.5010259239877467,1.0998931949144142,1.8418895317412585,20.0,2276,0,True
pd_bias,0.3,5.0,20.0,0.32383006353228444,0.48998794259798206,0.489529940680632,1.100298826060001,1.8425302940846224,20.0,2280,0,True
computed_torque,0.0,5.0,20.0,0.33296729619501775,0.5101544771090202,0.5091734046392818,1.0997592297647016,1.841873857984403,20.0,2278,0,True
computed_torque,0.1,5.0,20.0,0.329465991380242,0.5017170347158916,0.5007279868111174,1.0998917206368197,1.8418846539157918,20.0,2275,0,True
computed_torque,0.3,5.0,20.0,0.32384157930218177,0.489952724718064,0.48953437192545135,1.1003013994850712,1.8425317678909292,20.0,2286,0,True
pd_bias,0.0,5.0,50.0,0.333316564702854,0.5124770335812352,0.5109366897930706,1.1015538948866193,1.8417371845588426,50.0,2107,0,True
pd_bias,0.1,5.0,50.0,0.32981094219992524,0.5041268578779441,0.5026143501128195,1.1017436250380375,1.841882369586963,50.0,2107,0,True
pd_bias,0.3,5.0,50.0,0.3234939971279096,0.48881741246308774,0.4886020432305578,1.1023587592618407,1.8426923991321593,50.0,2149,0,True
computed_torque,0.0,5.0,50.0,0.33332028041338213,0.5124364353371915,0.5107339542762968,1.101554385443921,1.8417212612195666,50.0,2102,0,True
computed_torque,0.1,5.0,50.0,0.32981342511763206,0.5040904963803399,0.5024088373869101,1.101745551776027,1.8419106929659343,50.0,2110,0,True
computed_torque,0.3,5.0,50.0,0.3234986801676205,0.48878028799625467,0.4885623472437465,1.1023591773013743,1.842721118902129,50.0,2149,0,True
pd_bias,0.0,5.0,100.0,0.34213065271136217,0.527982927601616,0.5245851647730244,1.1081967152463261,1.8450502187296407,100.0,1570,0,True
pd_bias,0.1,5.0,100.0,0.3382509272841287,0.5192539824275964,0.5159617018330973,1.10820986176591,1.8445840427344844,100.0,1570,0,True
pd_bias,0.3,5.0,100.0,0.33121157929792444,0.5036480323943983,0.5031365154648589,1.1086682232442777,1.8461730044930078,100.0,1600,0,True
computed_torque,0.0,5.0,100.0,0.342130429549136,0.5277825897918255,0.5244635656905025,1.1081736193636627,1.8446899068171958,100.0,1569,0,True
computed_torque,0.1,5.0,100.0,0.33825128599138116,0.5193630122574299,0.5159509507683828,1.1081927878613436,1.8453862446944767,100.0,1574,0,True
computed_torque,0.3,5.0,100.0,0.33120998029676857,0.503458976623965,0.503063284591433,1.1086404508730405,1.8453062703350895,100.0,1589,0,True
