sample_index,t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,ik_success,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,j_margin_min,j_margin_1,j_margin_2,j_margin_3,j_margin_4,a_margin_min,a_margin_1,a_margin_2,a_margin_3,a_margin_4,active_limit_name,active_limit_margin
13,0.26,xyz,0.11563499519999998,-0.28061900288,-0.12687300096,0.1158498387452797,-0.28045714472821354,-0.12673870177827384,0.0003006527572805759,True,1.179073691406679,1.3663690886067072,1.395054843501766,-0.41993327946358666,2.2109013527220682,9.109127257378049,4.650182811672553,-1.3997775982119556,0.17584515649823396,1.962526308593321,0.2045309113932927,0.17584515649823396,1.1509667205364134,0.5858171883274466,3.679998647277932,1.362872742621951,0.5858171883274466,3.836222401788044,jnt3,0.17584515649823396
14,0.28,xyz,0.09714383360000003,-0.29171369983999995,-0.13057123327999998,0.09735341700041815,-0.29155655677828246,-0.13041778722354558,0.00030358661995907074,True,1.2485317063723311,1.3829096684677213,1.3768473173887665,-0.4058095736448431,2.341143270902552,9.219397789784809,4.589491057962555,-1.3526985788161436,0.18799033153227862,1.8930682936276688,0.18799033153227862,0.19405268261123343,1.165090426355157,0.6465089420374444,3.549756729097448,1.2526022102151906,0.6465089420374444,3.883301421183856,jnt2,0.18799033153227862
15,0.3,xyz,0.0793600000000001,-0.30238399999999993,-0.13412799999999997,0.07955645058736896,-0.3022332589824123,-0.13395973504905462,0.0002993806629987318,True,1.3134104448510477,1.3998995039994626,1.3557619349807577,-0.39002860661811856,2.462798509002527,9.332663359996419,4.519206449935859,-1.3000953553937287,0.17100049600053735,1.8281895551489522,0.17100049600053735,0.21513806501924226,1.1808713933818815,0.7167935500641409,3.428101490997473,1.139336640003581,0.7167935500641409,3.9359046446062713,jnt2,0.17100049600053735
16,0.32,xyz,0.06272432639999978,-0.31236540416000014,-0.13745513472000004,0.06290185351257242,-0.31222206548991727,-0.13727803279476256,0.00028883722399013727,True,1.3719962731492126,1.4169255825340175,1.3328160400708993,-0.37331544111632253,2.572653803017462,9.446170550226784,4.442720133569664,-1.2443848037210752,0.1539744174659825,1.7696037268507874,0.1539744174659825,0.2380839599291007,1.1975845588836775,0.7932798664303355,3.318246196982538,1.0258294497732159,0.7932798664303355,3.9916151962789246,jnt2,0.1539744174659825
17,0.34,xyz,0.047631564800000165,-0.3214210611199999,-0.14047368703999996,0.04778666190412991,-0.3212863974150726,-0.14029515850330984,0.0002721430938805921,True,1.423147129337059,1.4334884988946959,1.3092428273069843,-0.35650913238185766,2.6685676529852973,9.556589992631306,4.364142757689947,-1.1883637746061924,0.1374115011053041,1.718452870662941,0.1374115011053041,0.2616571726930157,1.2143908676181423,0.8718572423100523,3.222332347014703,0.9154100073686937,0.8718572423100523,4.047636225393807,jnt2,0.1374115011053041
18,0.36,xyz,0.0344119551999999,-0.32935282688,-0.14311760896000003,0.034543016551893665,-0.329229026114702,-0.14294602630558717,0.0002488861481560493,True,1.466261523325029,1.449011517715592,1.2863753350021763,-0.34048477064812144,2.7494121944965855,9.660076784770613,4.287917783340588,-1.1349492354937383,0.12188848228440796,1.675338476674971,0.12188848228440796,0.2845246649978237,1.2304152293518786,0.8119232152293865,3.1414878055034148,0.8119232152293865,0.9480822166594116,4.101050764506262,jnt2,0.12188848228440796
19,0.38,xyz,0.023312793599999826,-0.3360123238400001,-0.14533744128000003,0.023419525600264775,-0.3359025384674069,-0.14518138455701407,0.0002186281059358668,True,1.5011913419756377,1.4628869252637033,1.2655115499633396,-0.32606656796405376,2.8149096980604495,9.752579501758023,4.218371833211132,-1.0868885598801792,0.10801307473629662,1.6404086580243622,0.10801307473629662,0.3053884500366604,1.2448334320359462,0.719420498241977,3.0759903019395507,0.719420498241977,1.0176281667888674,4.149111440119821,jnt2,0.10801307473629662
20,0.4,xyz,0.014479999999999882,-0.34131200000000006,-0.147104,0.014562960769868741,-0.3412197925449867,-0.14697122975644245,0.0001816938129700967,True,1.5281465888702048,1.4745560728124565,1.2477684128215267,-0.3139375510198954,2.8654539450031966,9.83037381874971,4.159228042738422,-1.0464585033996514,0.09634392718754348,1.6134534111297951,0.09634392718754348,0.32313158717847323,1.2569624489801046,0.6416261812502899,3.0254460549968036,0.6416261812502899,1.0767719572615775,4.189541496600349,jnt2,0.09634392718754348
21,0.42,xyz,0.007939686400000201,-0.34523618815999985,-0.14841206271999996,0.008000105589531348,-0.34516456229679193,-0.14830832519546522,0.00013979347889109674,True,1.5476262700006769,1.4836088959316986,1.2339349416258378,-0.30455649942650487,2.9019806300406468,9.890725972877991,4.113116472086126,-1.015188331421683,0.08729110406830132,1.593973729999323,0.08729110406830132,0.33696505837416213,1.266343500573495,0.5812740271220083,2.9889193699593535,0.5812740271220083,1.1228835279138734,4.220811668578317,jnt2,0.08729110406830132
22,0.44,xyz,0.003579724800000239,-0.34785216511999983,-0.14928405503999995,0.00361958562145594,-0.34780249557698,-0.14921193712335212,9.621300583883665e-05,True,1.5603931077130564,1.489881148944757,1.224345063394346,-0.2980869683672915,2.9259199469586656,9.932540992965047,4.081150211314487,-0.9936232278909717,0.08101885105524298,1.5812068922869436,0.08101885105524298,0.34655493660565395,1.2728130316327084,0.539459007034953,2.9649800530413346,0.539459007034953,1.154849788685513,4.242376772109028,jnt2,0.08101885105524298
23,0.46,xyz,0.0011313152000000937,-0.3493212108799999,-0.14977373695999996,0.0011535928044845145,-0.3492923890676315,-0.1497318204877983,5.553358597819239e-05,True,1.5674970851503496,1.4935281135521858,1.2187898768477168,-0.29434885217026446,2.9392407372029807,9.956854090347907,4.062632922825723,-0.9811628405675482,0.07737188644781412,1.5741029148496504,0.07737188644781412,0.3521101231522832,1.2765511478297356,0.5151459096520927,2.9516592627970195,0.5151459096520927,1.1733670771742766,4.254837159432451,jnt2,0.07737188644781412
24,0.48,xyz,0.00015055359999993634,-0.34990966784,-0.14996988928,0.00015949785244501083,-0.34989766740115974,-0.14995238631189187,2.3029634750770635e-05,True,1.5703438817927728,1.4950609223301805,1.2164836868538116,-0.2927964460731888,2.9445788145373575,9.967072815534538,4.054945622846039,-0.975988153577296,0.07583907766981945,1.571256118207227,0.07583907766981945,0.3544163131461884,1.2781035539268113,0.5049271844654619,2.9463211854626428,0.5049271844654619,1.181054377153961,4.260011846422704,jnt2,0.07583907766981945
25,0.5,xyz,0.0,-0.35,-0.15,1.4198873931943122e-06,-0.34999786621715007,-0.14999684503855726,4.0648359333532376e-06,True,1.5707956654832556,1.4953470403761748,1.2160783818522567,-0.2925214770565027,2.945425961903723,9.9689802691745,4.053594606174189,-0.9750715901883424,0.07555295962382513,1.5708043345167444,0.07555295962382513,0.35482161814774327,1.2783785229434972,0.5030197308254998,2.945474038096277,0.5030197308254998,1.1824053938258103,4.260928409811657,jnt2,0.07555295962382513
26,0.52,xyz,-0.0001505536000000004,-0.34990966784,-0.14996988928,-0.00014920109402242674,-0.3499112687100685,-0.14997218665225726,3.109658612141744e-06,True,1.5712261176760371,1.4951544825658174,1.216390095623546,-0.2927293823163387,2.946233110211958,9.967696550438783,4.054633652078487,-0.975764607721129,0.07574551743418256,1.5703738823239628,0.07574551743418256,0.3545099043764539,1.2781706176836614,0.5043034495612169,2.944666889788042,0.5043034495612169,1.1813663479215126,4.2602353922788705,jnt2,0.07574551743418256
27,0.54,xyz,-0.0011313152000000028,-0.34932121087999995,-0.14977373696,-0.0011225743901176557,-0.34933218491455004,-0.14978958620810148,2.1166715784185884e-05,True,1.5740131860224378,1.493800843111656,1.2185166083963497,-0.29415456625498726,2.9514591899914455,9.95867228741104,4.061722027987832,-0.9805152208499576,0.0770991568883439,1.5675868139775622,0.0770991568883439,0.3523833916036503,1.2767454337450128,0.5133277125889588,2.9394408100085547,0.5133277125889588,1.1742779720121677,4.255484779150042,jnt2,0.0770991568883439
28,0.56,xyz,-0.003579724800000009,-0.34785216511999995,-0.14928405504,-0.0035578283719894287,-0.34787951813483875,-0.14932358475200103,5.2822713971153415e-05,True,1.581026512428675,1.4904068325637092,1.2238166780290345,-0.2977194793796642,2.9646099989286987,9.936045550424728,4.079388926763449,-0.9923982645988807,0.08049316743629076,1.5605734875713249,0.08049316743629076,0.3470833219709655,1.2731805206203357,0.5359544495752715,2.9262900010713015,0.5359544495752715,1.1566110732365509,4.2436017354011195,jnt2,0.08049316743629076
29,0.58,xyz,-0.00793968639999999,-0.34523618816,-0.14841206272,-0.007900483698556046,-0.34528418049621956,-0.14848136375187804,9.296638723579408e-05,True,1.5936767483406404,1.4844198877920904,1.233115195067771,-0.3040096445065826,2.9883306738058137,9.896132585280604,4.110383983559237,-1.0133654816886086,0.08648011220790952,1.5479232516593595,0.08648011220790952,0.33778480493222895,1.2668903554934174,0.5758674147193954,2.9025693261941865,0.5758674147193954,1.1256160164407625,4.222634518311391,jnt2,0.08648011220790952
30,0.6,xyz,-0.014479999999999991,-0.341312,-0.14710399999999998,-0.014420643688191315,-0.3413820643779818,-0.14720478978533458,0.00013634797263361751,True,1.613016410534018,1.4756441286371298,1.2466591462742942,-0.3132452022045685,3.0245948069267166,9.837627524247532,4.155530487580981,-1.0441506740152282,0.09525587136287017,1.528583589465982,0.09525587136287017,0.32424085372570577,1.2576547977954315,0.6343724757524676,2.8663051930732837,0.6343724757524676,1.0804695124190191,4.191849325984771,jnt2,0.09525587136287017
31,0.62,xyz,-0.023312793599999996,-0.33601232383999996,-0.14533744128,-0.023231410780574134,-0.3361035465992113,-0.14546740427689578,0.00017842403329699445,True,1.6398094986138858,1.4642108792517343,1.2641452095473202,-0.3252948479721566,3.074834987087729,9.761405861678229,4.213817365157734,-1.0843161599071887,0.10668912074826564,1.5017905013861141,0.10668912074826564,0.3067547904526797,1.2456051520278435,0.7105941383217704,2.8160650129122713,0.7105941383217704,1.0221826348422658,4.1516838400928116,jnt2,0.10668912074826564
32,0.64,xyz,-0.034411955200000004,-0.32935282688,-0.14311760896,-0.034307397932438026,-0.32946283310625896,-0.14327122827485544,0.00021594556238186007,True,1.674556688032846,1.4505088285287195,1.2848049609075933,-0.33971693033237016,3.139990039439051,9.67005885685813,4.282683203025312,-1.1323897677745673,0.12039117147128042,1.467043311967154,0.12039117147128042,0.28609503909240663,1.2311830696676298,0.8019411431418693,2.750909960560949,0.8019411431418693,0.9533167969746881,4.103610232225432,jnt2,0.12039117147128042
