policy,episode,profile,total_reward,mean_reward,mean_ee_error,max_ee_error,final_ee_error,mean_q_error,max_q_error,mean_force_residual_norm,max_force_residual_norm,mean_tau_residual_norm,max_tau_residual_norm,saturation_steps,joint_limit_steps,actuator_limit_steps,ncon_max,nan_flag,terminated,truncated,num_steps
random_force,0,medium_train,-241.25522370888703,-0.48251044741777405,0.018754701599052914,0.04753814674012232,0.022013417890522982,0.19748291604899124,0.37300160286435385,4.8026634019466785,7.903470999151533,1.646602828552374,4.472953074131282,412,1,3,0,0,0,1,500
random_force,1,medium_train,-154.42704971508164,-0.3088540994301633,0.013998254895774522,0.03438704153432917,0.007436461689545636,0.1615500496895153,0.28632554811211175,4.713941017228521,8.402476443438484,1.5828970215203513,4.5076363359225,366,0,0,0,0,0,1,500
random_force,2,medium_train,-41.57137231282789,-0.8483953533230182,0.01142767039799332,0.04348077744042186,0.022608125486040426,0.10481378998877464,0.34319919088641737,4.899580743621529,7.841359042576615,1.604434143986774,4.29637417720803,20,2,3,0,0,1,0,49
random_force,3,medium_train,-45.00376921803822,-0.7759270554834177,0.014294645950142345,0.05520248193214975,0.03801626302739108,0.11485349476001731,0.3159264295912043,4.990615648803932,7.272317422027488,1.6813835666428845,4.114810130984967,31,3,3,0,0,1,0,58
random_force,4,medium_train,-199.6937460889592,-0.39938749217791836,0.01619381579844315,0.04245234264451094,0.017308486458903104,0.1912995601162637,0.37970141457588447,4.885434256076005,7.789903305581291,1.695842212054424,4.501908000605795,381,0,0,0,0,0,1,500
random_force,5,medium_train,-127.01928427575876,-0.2540385685515175,0.012575333286686178,0.03103341779103574,0.015796568726648353,0.13202109595712808,0.2723681751710388,4.824579401600931,8.021575794229618,1.5880045526031472,4.950677997903665,362,0,0,0,0,0,1,500
random_force,6,medium_train,-161.75590580648785,-0.3235118116129757,0.015219508519804817,0.0343121266862296,0.029405257376204932,0.15814774481702146,0.27450746646367225,4.893620130815092,7.770216902246805,1.5990127990417096,4.45486590334085,407,0,0,0,0,0,1,500
random_force,7,medium_train,-252.24993411446852,-0.504499868228937,0.030706361798846595,0.0733434180053217,0.02347458121920054,0.18717575150459065,0.4627035586706454,4.736963159693262,7.8730363886603145,1.6324523121698151,4.698545520169185,413,0,0,0,0,0,1,500
random_force,8,medium_train,-233.0280809274984,-0.46605616185499676,0.025527040035020314,0.05722945257389789,0.012727199670933616,0.1914386910063533,0.3800168070414832,4.839405213183545,8.022391108102692,1.6245424266981159,4.533577125014547,471,0,0,0,0,0,1,500
random_force,9,medium_train,-326.433398346703,-0.652866796693406,0.017174376716769673,0.05166927648042839,0.0039313859645785446,0.23212913439038252,0.46402918015249217,4.881680922038614,8.302897436745916,1.5770430735804493,4.314739840663369,441,6,6,0,0,0,1,500
sinusoid_force,0,medium_train,-202.42060819096338,-0.40484121638192677,0.01734599093924467,0.04362010588996191,0.02876069776432426,0.2123951732199845,0.42978277851030144,0.41926128719979566,0.5845619533240256,0.14263183266255688,0.35169404385080943,384,0,0,0,0,0,1,500
sinusoid_force,1,medium_train,-465.0039998930868,-1.0814046509141553,0.023552837558683443,0.0728152807263426,0.005816594818738662,0.28247129762898715,0.5732625817014894,0.4197264034684693,0.5845619533240256,0.1442013992175013,0.35893841941227717,326,14,17,0,0,1,0,430
sinusoid_force,2,medium_train,-483.45593432367355,-0.9669118686473471,0.03655887089589694,0.0645858303587397,0.05247169490865921,0.25629183441297676,0.44297134055494325,0.41926128719979566,0.5845619533240256,0.14252546369665534,0.35076442126419277,437,14,16,0,0,0,1,500
sinusoid_force,3,medium_train,-131.7298498353205,-0.263459699670641,0.02625131567100813,0.04940705383742859,0.010306537780397664,0.12211885578519575,0.17722242272289307,0.41926128719979566,0.5845619533240256,0.14327012251871973,0.34866629826808554,454,0,0,0,0,0,1,500
sinusoid_force,4,medium_train,-77.6433360183348,-0.1552866720366696,0.01177536635389525,0.026875047491499708,0.010313914365798916,0.10475811580716876,0.20297842507521116,0.41926128719979566,0.5845619533240256,0.14281539022597217,0.3488267858781228,345,0,0,0,0,0,1,500
