step,time,q_act_des_1,q_act_des_2,q_act_des_3,q_act_des_4,q_act_actual_1,q_act_actual_2,q_act_actual_3,q_act_actual_4,q_jnt_des_1,q_jnt_des_2,q_jnt_des_3,q_jnt_des_4,q_jnt_actual_1,q_jnt_actual_2,q_jnt_actual_3,q_jnt_actual_4,ratio_times_q_act_1,ratio_times_q_act_2,ratio_times_q_act_3,ratio_times_q_act_4,transmission_err_1,transmission_err_2,transmission_err_3,transmission_err_4,ee_des_x,ee_des_y,ee_des_z,ee_act_x,ee_act_y,ee_act_z,ee_err_norm,ncon,qfrc_constraint_jnt1,qfrc_constraint_jnt2,qfrc_constraint_jnt3,qfrc_constraint_jnt4
1884,3.7680000000000002,3.7917000800036296,9.223495095782972,4.376867910370032,-1.2839990506289711,3.6681587248572156,9.417911632532597,4.351916729100623,-1.546943952106417,2.0221136526659356,1.3835242643674457,1.3130603731110093,-0.38519971518869134,1.9561962411648879,1.4127935131927387,1.3056407428195818,-0.4639990301030199,1.956229047966353,1.4126867448798894,1.3055750187301867,-0.4640831856319251,-3.2806801465223856e-05,0.00010676831284928134,6.572408939509167e-05,8.415552890517208e-05,-0.14645206249336806,-0.30216316956456224,-0.12444745781162167,-0.11814398561421872,-0.2912204946886622,-0.13336662044477604,0.03163290710813885,0,12.849178574905467,-43.341717404464454,18.99437223688981,6.739444370185604
1885,3.77,3.7942148028218203,9.221467921223162,4.377770735630429,-1.2847732684836137,3.6709020463220505,9.41127880727522,4.360695200716723,-1.5304408302515449,2.023454754344877,1.3832201881834743,1.3133312206891288,-0.3854319805450841,1.9576290424779752,1.411771139026823,1.308251700653546,-0.4591092614623023,1.9576920613035496,1.411691821091283,1.3082085602150169,-0.45913224907546346,-6.30188255743569e-05,7.93179355400575e-05,4.314043852904348e-05,2.2987613161162823e-05,-0.14683884038356843,-0.3019288144338053,-0.12437759424591444,-0.11864539726318021,-0.29125780543362867,-0.1333074505347247,0.03144014951305449,0,-12.745338172194897,40.582102511376085,-18.643802895180315,-6.9443338586533425
1886,3.7720000000000002,3.796729268079538,9.219440954288638,4.378673468422545,-1.285547407042074,3.6730877634717936,9.419443964568952,4.352782170123533,-1.5450670090460095,2.0247957186668177,1.3829161431432957,1.3136020405267634,-0.3856642221126222,1.9588235421351268,1.412969451133068,1.3058986304370683,-0.46343564968054013,1.9588577042595074,1.4129165946853428,1.30583465103706,-0.46352010271380284,-3.416212438067667e-05,5.285644772512477e-05,6.397940000835156e-05,8.445303326271025e-05,-0.14722520416502252,-0.3016939702366275,-0.12430773445085277,-0.11888550150780212,-0.29085232916296505,-0.13344849168125228,0.031689641377189645,0,13.167085475480029,-42.65667007534925,19.06430370787571,6.742653587360342
1887,3.774,3.7992434500359673,9.217414215729647,4.379576099505018,-1.2863214583794247,3.675837319810754,9.41394943308902,4.361071316592556,-1.5283649539175554,2.0261365319041813,1.382612132359447,1.3138728298515052,-0.3858964375138274,1.9602599378995933,1.4121959820249512,1.30836119389976,-0.45848604389806863,1.960324042655075,1.412092414963353,1.3083213949777666,-0.4585094861752666,-6.410475548168648e-05,0.00010356706159830864,3.9798921993350334e-05,2.344227719797143e-05,-0.1476111492983642,-0.30145864014048007,-0.1242378791489624,-0.11938061280523665,-0.2908699922670588,-0.13345480038128435,0.031528309366027574,0,-12.946993324038578,39.93146884452735,-18.678583627196645,-6.955381206396458
1888,3.7760000000000002,3.8017573229546513,9.215387726292926,4.380478619638052,-1.2870954145720783,3.6780227594431127,9.423597547039186,4.352717267449266,-1.5427831728539179,2.0274771803317155,1.3823081589439388,1.3141435858914157,-0.3861286243716235,1.9614540142523118,1.413624136566752,1.3058806427730476,-0.4627504349903544,1.961489537611012,1.413539632055878,1.3058151802347797,-0.46283495185617535,-3.552335870016243e-05,8.450451087393951e-05,6.546253826789084e-05,8.451686582094942e-05,-0.14799667126167387,-0.3012228273339655,-0.1241680290627839,-0.11961162538306426,-0.2904450042567535,-0.1336576048900871,0.03181075838763661,0,13.266618189524259,-43.3488517160967,19.005977341913265,6.737485985729455
1889,3.778,3.804270861103876,9.213361506721386,4.381381019583557,-1.2878692676979087,3.6807735480970183,9.419947544600543,4.360639286869699,-1.5258711713072035,2.028817650226697,1.3820042260082077,1.314414305875067,-0.3863607803093726,1.9628920482119598,1.4130618558329628,1.308234488213177,-0.4577380665341855,1.9629565332001397,1.4129921316900813,1.3081917860609096,-0.457761351392161,-6.448498817990256e-05,6.972414288153317e-05,4.270215226731544e-05,2.3284857975536255e-05,-0.14838176555060117,-0.30098653502672573,-0.12409818491485719,-0.12009909487071907,-0.29044180962046023,-0.13372096370488862,0.031681202097175586,0,-12.916407741337045,-60.61811304627746,-26.590626314599415,-7.776661652113417
1890,3.7800000000000002,3.806784038757077,9.211335577753788,4.382283290105288,-1.2886430098363744,3.682954250666,9.412963431780856,4.360826674321955,-1.539124714152889,2.030157927869149,1.3817003366630682,1.3146849870315864,-0.3865929029509123,1.964083396243182,1.4120416801347733,1.3083583171029034,-0.46167780846161655,1.9641195018801778,1.4119445147671283,1.3082480022965866,-0.4617374142458667,-3.610563699574243e-05,9.716536764492467e-05,0.00011031480631684687,5.9605784250127414e-05,-0.14876642767849105,-0.30074976644932905,-0.12402834742771315,-0.12029319839832239,-0.2899325699138277,-0.13338374525632604,0.03186314477669037,0,13.564740382411161,54.74350274177857,16.177218182166342,9.211850517130635
1891,3.782,3.8092968301932273,9.209309960124434,4.3831854219689905,-1.2894166330686394,3.685727831017179,9.412817535874144,4.365475075221066,-1.5239594281545683,2.031497999542048,1.3813964940186652,1.3149556265906972,-0.38682498992059183,1.9655333569021936,1.411997774833838,1.3097047826442605,-0.45716015800332593,1.9655986522814615,1.4119226303811214,1.3096425225663197,-0.45718782844637046,-6.529537926791562e-05,7.514445271650239e-05,6.226007794074562e-05,2.767044304452515e-05,-0.14915065317650564,-0.3005125248531559,-0.12395851732385968,-0.12083006340313811,-0.29003774032366986,-0.13351854534413668,0.03167287564776856,0,-13.898887578426745,-60.72123462146053,-26.601674593508694,-7.811485800945919
1892,3.7840000000000003,3.811809209697236,9.207284674562834,4.38408740594254,-1.2901901294776947,3.6878919941908195,9.409329832928968,4.362462659049602,-1.5388850435301489,2.0328378515315357,1.381092701184425,1.315226221782762,-0.3870570388433084,1.9667164697586932,1.411488168272349,1.3088297221237595,-0.46160344515113716,1.966752800501964,1.4113994749393453,1.3087387977148806,-0.46166551305904463,-3.633074327091812e-05,8.869333300376425e-05,9.092440887892295e-05,6.206790790747041e-05,-0.1495344375937463,-0.30027481351028446,-0.12388869532577099,-0.1210659212845395,-0.2896380887093952,-0.13325145324722731,0.03180027627605173,0,14.412239112557574,-43.45215229585179,18.981879136753193,6.782872906815673
1893,3.786,3.814321151560341,9.205259741793398,4.384989232796083,-1.2909634911484804,3.6906697000846913,9.392848438333182,4.375653261122132,-1.5225235532073678,2.03417747012713,1.3807889612690096,1.315496769838825,-0.3872890473445441,1.9681664066148534,1.4089975417137324,1.3127731429554534,-0.4567579252621532,1.968234151055166,1.4089272657499772,1.3126959783366394,-0.45675706596221033,-6.77444403125449e-05,7.027596375519529e-05,7.716461881401848e-05,-8.592999428680415e-07,-0.14991777649737476,-0.300036635713374,-0.12381888215587566,-0.12156842859218826,-0.28965925050350194,-0.13284594926709006,0.03150973803562547,0,-14.017130724157141,40.59674999915578,-18.825709800094362,-6.901503874976845
1894,3.7880000000000003,3.8168326300805133,9.203235182535108,4.385890893302187,-1.2917367101680093,3.6928423707747093,9.39134146026761,4.372274287457013,-1.5373386101396893,2.035516841621938,1.380485277380266,1.315767267990656,-0.38752101305040276,1.9693530423711323,1.4087349124049018,1.3117365195952184,-0.46113217786930194,1.9693928363341524,1.4087012190401413,1.3116822862371038,-0.4612015830419068,-3.9793963020118284e-05,3.369336476044538e-05,5.4233358114608166e-05,6.940517260484169e-05,-0.15030066547273363,-0.2997979947755468,-0.12374907853654457,-0.12179950672136818,-0.2892474768995201,-0.13264309191769097,0.031665958877742935,0,14.092277347707604,-41.95944092262174,19.206619579601064,6.751605052531395
1895,3.79,3.8193436195628423,9.201211017501212,4.38679237823597,-1.2925097786254847,3.6956068968497426,9.37596393961039,4.384852354540627,-1.5208322085177266,2.0368559523128638,1.3801816526251818,1.316037713470791,-0.3877529335876454,1.9708004733250157,1.4065297183494374,1.3154758990097175,-0.45624090983150606,1.9708671580899677,1.4063945909415585,1.315455706362188,-0.45624966255531796,-6.668476495197417e-05,0.00013512740787890998,2.019264752961547e-05,8.752723811900065e-06,-0.1506831001234641,-0.29955889403027014,-0.1236792851900802,-0.12229565971185966,-0.28925446251632486,-0.1323097599191103,0.031408807299806975,0,-13.335217631150527,39.6794884284289,-18.705110494176296,-6.950151881012298
1896,3.7920000000000003,3.821854094319936,9.19918726739889,4.387693678375254,-1.2932826886124267,3.697799593241474,9.376056132615986,4.38073664788766,-1.5354483790345104,2.038194788500822,1.3798780901098335,1.3163081035125763,-0.38798480658372797,1.9719977267959354,1.4065178137673495,1.3142873880902872,-0.46055856979098375,1.972036523075678,1.4064084198923978,1.314220994366298,-0.4606345137103531,-3.879627974257005e-05,0.00010939387495167985,6.639372398931087e-05,7.594391936932565e-05,-0.15106507607162434,-0.29931933683123746,-0.12360950283870337,-0.12252118709568684,-0.2888233010946054,-0.13217302341377296,0.03159516179251095,0,13.22985530683072,-43.3156013658496,18.987774638028018,6.7631760346596135
1897,3.794,3.824364028672319,9.19716395292895,4.388594784500701,-1.2940554322227908,3.7005503192854126,9.363010690812722,4.392838014733384,-1.5187604695699968,2.0395333364909476,1.3795745929393424,1.3165784353502104,-0.38821662966683723,1.9734390480877662,1.4045328948070326,1.3178960330407679,-0.45561270016684063,1.9735034852749105,1.4044516036219081,1.3178514044200151,-0.455628140870999,-6.443718714432833e-05,8.129118512445466e-05,4.462862075271801e-05,1.544070415837595e-05,-0.15144658895780616,-0.2990793265522464,-0.1235397322045424,-0.12300844844759011,-0.2888133591660389,-0.13189774273737304,0.03136836403321626,0,-12.629321946165295,40.79648068361022,-18.724512023626495,-6.9338689817345545
1898,3.7960000000000003,3.826873396948824,9.19514109478549,4.389495687395957,-1.294828001553092,3.702756880422263,9.364762880374009,4.388276374875284,-1.5332176736599736,2.040871582592808,1.3792711642178233,1.316848706218787,-0.3884484004659276,1.9746439938113962,1.4047710249615262,1.316546188900617,-0.45988505073463215,1.9746802443291929,1.4047144320561014,1.3164829124625852,-0.4599653020979921,-3.6250517796654336e-05,5.6592905424812656e-05,6.3276438031723e-05,8.025136335992888e-05,-0.15182763444125078,-0.2988388665870768,-0.12346997400962148,-0.12322828161100112,-0.2883651935064355,-0.13182596306346087,0.03158232675369474,0,12.647007919733571,-42.74230152873542,19.107978300393537,6.760994992609099
1899,3.798,3.8293821734869895,9.1931187136556,4.3903963778477895,-1.2956003887025245,3.705502606109721,9.353023803946732,4.399804931642449,-1.5163713446065745,2.0422095131206115,1.37896780704834,1.3171189133543368,-0.3886801166107573,1.9760817901819465,1.4030501798183024,1.3199800068642975,-0.4548915066114558,1.9761445398383142,1.4029535705920098,1.3199414794927347,-0.45491140338197233,-6.27496563676555e-05,9.660922629262103e-05,3.852737156284647e-05,1.9896770516558693e-05,-0.15220820819996297,-0.29859796034936953,-0.12340022897584882,-0.12370762610349513,-0.28833890867978745,-0.13161850110440995,0.03138584581902713,0,-12.337001808995812,40.24620309665187,-18.75295711596213,-6.948916631486617
1900,3.8000000000000003,3.8318903326334577,9.191096830219026,4.391296846646239,-1.2963725857730852,3.707712216859969,9.35636741589726,4.39471322565597,-1.530655644013521,2.043547114393423,1.378664524532854,1.3173890539938717,-0.38891177573192554,1.9772887667961685,1.4035340057493713,1.3184797231526262,-0.45911419932718817,1.9773229252514215,1.403455112384589,1.318413967696791,-0.4591966932040563,-3.415845525300831e-05,7.889336478217324e-05,6.575545583520359e-05,8.249387686815046e-05,-0.15258830593082498,-0.29835661127250024,-0.12333049782500374,-0.1239193043149308,-0.2878728548334626,-0.13161124144437847,0.03162896643292382,0,12.561263735886586,-43.28388834324624,19.06722708796076,6.760548837576029
1901,3.802,3.834397848744364,9.189075465147868,4.392197084584754,-1.2971445848696948,3.7104620483792616,9.346494584767992,4.405767504106331,-1.5136392537385783,2.0448843727353694,1.37836131977218,1.317659125375426,-0.3891433754609084,1.9787271072188213,1.4020457475872383,1.3217734509046282,-0.45406984673836587,1.9787894104006603,1.4019741877151988,1.3217302512318991,-0.4540917761215735,-6.23031818389741e-05,7.15598720395505e-05,4.319967272903291e-05,2.19293832076084e-05,-0.15296792334970788,-0.298114822809456,-0.12326078127872697,-0.12439113939898502,-0.28782831421071836,-0.1314646636010664,0.031460268995623486,0,-12.472492227481242,40.49162023221686,-18.76435530819588,-6.948898017120988
1902,3.8040000000000003,3.8369046961857416,9.187054639106238,4.393097082460332,-1.2979163781003198,3.7126668424640714,9.351531390502501,4.400223237028408,-1.5277568226593872,2.046221274475856,1.3780581958659357,1.3179291247380995,-0.3893749134300959,1.9799318346011587,1.402766700565661,1.3201310579425884,-0.458243515639216,1.9799652270860892,1.4027297085753752,1.3200669711085224,-0.4583270467978161,-3.339248493050562e-05,3.699199028583955e-05,6.408683406600169e-05,8.353115860010307e-05,-0.1533470561915852,-0.29787259843270764,-0.12319108005850685,-0.1245931884832006,-0.28734471374956966,-0.13151990439346556,0.0317331148627949,0,12.8363345423627,-42.257241225176024,19.174566988255226,6.767952288995521
1903,3.806,3.8394108493339068,9.185034372749964,4.393996831073667,-1.298687957576094,3.715425923040948,9.342742473548736,4.410712674554637,-1.5105855893511764,2.0475578059497725,1.3777551559124945,1.3181990493221,-0.38960638727282815,1.9813736226074274,1.4015429596758013,1.3232536552726313,-0.45315247483743565,1.9814366447577374,1.4014113710323104,1.323213802366391,-0.45317567680535287,-6.302215030995484e-05,0.00013158864349094301,3.985290624020088e-05,2.320196791721907e-05,-0.1537257002106397,-0.2976299416340847,-0.1231213948856694,-0.1250583464439909,-0.2872819398053917,-0.13144140491026018,0.03159305114480269,0,-12.851755408964216,39.65918716650606,-18.82218721563523,-6.963071026032583
1904,3.8080000000000003,3.8419162825758653,9.183014686726256,4.39489632122929,-1.2994593154114413,3.717622654001834,9.349311145444261,4.404679223583018,-1.5245347816640027,2.048893953497709,1.3774522030089384,1.318468896368787,-0.3898377946234324,1.9825741081994415,1.4025033162326985,1.3214694691350217,-0.4572765227479502,1.9826081613791782,1.4023966718166392,1.3214037670749053,-0.4573604344992008,-3.4053179736703854e-05,0.00010664441605934272,6.570206011646818e-05,8.391175125055383e-05,-0.1541038511803751,-0.2973868559246448,-0.12305172648136445,-0.12524973152781402,-0.28678034821286097,-0.1315598368885546,0.03189743201991939,0,13.258355341113695,-43.49210107259783,19.08374834920057,6.7599357090082846
1905,3.81,3.844420970309699,9.180995601673398,4.395795543735707,-1.300230443724196,3.7203909582698382,9.342720028065193,4.4147908282819275,-1.5071890889102344,2.0502297034661625,1.3771493402510098,1.3187386631207119,-0.39006913311725877,1.9840201670125839,1.4014871004057456,1.3244804225525195,-0.4521334916210822,1.9840844980453047,1.401408004209779,1.3244372484845781,-0.4521567266730703,-6.433103272085461e-05,7.909619596668804e-05,4.317406794140943e-05,2.3235051988090838e-05,-0.15448150489372328,-0.2971433448345456,-0.12298207556655597,-0.12570746217673512,-0.28669737635865833,-0.13153664967429438,0.031784344099620464,0,-13.234634020667391,40.70631265162866,-18.76256360443035,-6.95605815346036
1906,3.8120000000000003,3.846924886944968,9.178977138220416,4.396694489405543,-1.301001334635726,3.7225817111507853,9.35085623799848,4.408319548029644,-1.520975403631853,2.0515650422077516,1.3768465707330624,1.319008346821663,-0.3903004003907178,1.985217246833331,1.402680999123521,1.3225599144344746,-0.45620847590925345,1.9852528265567138,1.402628435699772,1.3224958644088933,-0.45629262108955587,-3.557972338286142e-05,5.2563423748930305e-05,6.405002558129702e-05,8.414518030241958e-05,-0.1548586571631504,-0.2968994119129151,-0.12291244286200873,-0.12588818333247873,-0.2861775245546087,-0.1317168505602326,0.03212109614279043,0,13.579735687992187,-42.8037389252882,19.158847679274857,6.763988737475138
1907,3.814,3.849428006903102,9.176959316986771,4.397593149055689,-1.3017719802710541,3.7253551802307867,9.345416034056562,4.417917040588934,-1.5034747342754697,2.0528999560814243,1.3765438975480155,1.3192779447167067,-0.3905315940813162,1.9866665698862025,1.4019166487409154,1.3254151060549495,-0.45101876685690323,1.9867319176170786,1.4018124051084844,1.3253751121766801,-0.4510424202826409,-6.534773087607526e-05,0.00010424363243100032,3.999387826936207e-05,2.36534257376797e-05,-0.15523530382076325,-0.2966550607277192,-0.12284282908827698,-0.12633832589641605,-0.28607519343265864,-0.1317589154232721,0.03203850059965959,0,-13.433552924968424,40.0540703429125,-18.803007943204598,-6.967814308352074
1908,3.8160000000000003,3.8519303046177993,9.174942158582033,4.398491513507439,-1.3025423727589795,3.7275446560323067,9.355048488595829,4.4109867915927365,-1.5170953630070008,2.0542344314526724,1.3762413237873048,1.3195474540522316,-0.39076271182769384,1.9878627080301738,1.40334248419172,1.323361550238589,-0.4550444368548555,1.987899565062029,1.4032572732893742,1.3232960374778209,-0.4551286089021002,-3.6857031855186406e-05,8.521090234570039e-05,6.551276076804946e-05,8.417204724470162e-05,-0.15561144071841365,-0.2964102948656296,-0.12277323496569326,-0.12650860990406954,-0.28553607306785905,-0.13200060663092777,0.03240937902774162,0,13.678515395172354,-43.52237097058932,19.105903407267448,6.759774762046266
1909,3.818,3.8544317545354203,9.172925683605564,4.399389573586631,-1.3033125042322002,3.7303187570255596,9.351480731886094,4.4201934882143625,-1.4994273118707984,2.0555684546937396,1.3759388525408345,1.319816872075989,-0.3909937512696601,1.9893133470540862,1.4027916110454206,1.3261009166919953,-0.4498047112536304,1.989378993121731,1.402722109782914,1.3260580464643088,-0.4498281935612395,-6.564606764469794e-05,6.95012625067104e-05,4.287022768645343e-05,2.3482307609068442e-05,-0.15598706372780183,-0.29616511793189093,-0.12270366121435497,-0.12694983445402722,-0.2854133017830169,-0.1320992766757717,0.03235799475084566,0,-13.424138579100763,-10.42619221448068,-22.73127561107225,-7.358633108800439
1910,3.8200000000000003,3.856932331115385,9.170909912646202,4.400287320123793,-1.3040823668274348,3.73250599961916,9.353531478312656,4.417299385885516,-1.5124275490974033,2.056902012183835,1.3756364868969302,1.3200861960371377,-0.39122471004823045,1.9905081549462131,1.4030946874359027,1.3252771202373375,-0.45365645796691495,1.9905454495968982,1.4030297217468983,1.3251898157656548,-0.45372826472922095,-3.729465068502691e-05,6.496568900438149e-05,8.730447168270317e-05,7.180676230600369e-05,-0.15636216874057857,-0.2959195335501859,-0.12263410855411516,-0.12709606185322894,-0.28482508755096303,-0.1320967459742965,0.03269760314330795,0,13.81824821188375,-43.22687442810668,19.081716652256016,6.795316587078353
1911,3.822,3.859432008830565,9.168894866281935,4.401184743954282,-1.3048519526855438,3.7352843402420595,9.34235795200531,4.430493758085248,-1.4941926716362717,2.0582350903093403,1.3753342299422902,1.3203554231862844,-0.39145558580566314,1.9919611193449764,1.4014380936070887,1.3292218734556942,-0.44824678353998454,1.9920271386510904,1.4013536928007964,1.3291481274255743,-0.4482578014908815,-6.601930611394025e-05,8.44008062923507e-05,7.374603011989223e-05,1.1017950896974327e-05,-0.15673675166844614,-0.295673545362501,-0.12256457770456747,-0.12751603584848686,-0.284654124153127,-0.13195373595344156,0.03261033838283221,0,-13.589927637413318,40.416177199324395,-18.956316851826468,-6.93087276849042
1912,3.8240000000000003,3.861930762167686,9.16688056507959,4.4020818359184295,-1.305621253951652,3.7374748064018406,9.346160892043084,4.427265427210043,-1.5071365061703523,2.059567675464027,1.3750320847619384,1.3206245507755288,-0.3916863761854956,1.993157650507426,1.4019871806395272,1.3282336152360728,-0.45206371635907333,1.9931953142541017,1.4019241338064625,1.3281796281630127,-0.4521409518511057,-3.766374667568684e-05,6.304683306468384e-05,5.3987073060035584e-05,7.723549203236812e-05,-0.15711080844325861,-0.29542715702898886,-0.12249506938503701,-0.1276541727899876,-0.2840510280133928,-0.13201419605702502,0.03298065293450686,0,13.697245733706641,-43.07158190812107,19.226068808358978,6.766011683062385
